interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	I	是	sI	0.13	0.24000000000000002	170.03504489904356	116.28618497824162	226.56374769624725	0.8167101942547881	0	72.83290590990228	63.56245472555916	75.53677043895568	226.56374769624725	221.74305541888737	210.6336167786619	189.34963032725702	167.96377749538473	151.5456043344245	145.44003057501675	125.5857948297091	131.50779748052554	151.77278372121924
2	yaw	小	xyaw	0.1899999999999999	0.3299999999999999	208.42248452998055	199.99872492616456	217.6407564027155	0.9284926248998047	0	82.58702580853556	79.72119205382873	84.14948777772297	217.6407564027155	211.57453065798148	209.21286206790793	207.55896173465055	208.2319589883321	209.9677500523973	210.04751541755707	207.34160712539153	202.31869989849665	204.17309400913115
3	iN	影	yiN	0.35	0.38	201.54072548586478	198.50802241871784	204.90428331412716	0.9107631742353886	0	82.48130065096763	77.59219943840775	85.27236234709358	204.90428331412716	202.22434146704913	201.56896373205714	202.09455239181364	201.89395856904648	202.94363917643173	201.63654364797105	200.52899717069917	198.80653471967088	199.7563244492626
4	@y	买	m@y	0.1399999999999999	0.16999999999999993	190.73484893938053	164.7296284412622	226.23929436022382	1	0	77.87290162055433	73.58647324232334	80.19794845307416	226.23929436022382	200.90273032671388	194.64487609831747	192.67842126652934	191.95758713630374	191.5921823418013	191.31176658264758	184.36944071186434	174.4572404785163	165.95359041455143
5	a	哒	da	0.07000000000000006	0.10000000000000009	151.38925053646855	140.94738902584078	165.33446583753644	0.7591078787810109	0	71.74505238323431	69.75119631590003	73.54213617906915	165.33446583753644	163.28273669007385	159.7231753489672	156.16361400786047	151.96983191099022	147.0442566343926	142.1186813577952	142.81781665595057	144.19191722307642	144.60468963105512
6	a	杂	za	0.08999999999999986	0.16999999999999993	183.0393095754832	175.36839508218821	188.99215459743132	0	1	77.2563950691845	75.64259282200763	78.30724830583284	175.36839508218821	177.03941559371407	178.8340290556427	180.99942136877965	183.01987573762125	184.60551627357668	186.0051066078805	186.84654633722923	187.78053182687887	188.99215459743132
7	i	李	li	0.19999999999999996	0.26	186.16894033540171	170.18503808191082	194.36568223452937	0.9634405816691252	0.6647079625747244	75.62023779978131	67.8352286039388	80.90237845165586	185.97860987615394	188.60493868738206	189.67587591202548	187.44182350780645	187.38561618941762	188.19774062313635	193.41252039306684	186.901446428745	174.8917672101613	172.33527552643034
8	I	子	zI	0.20999999999999996	0.32000000000000006	153.3237506382427	128.79392374868576	184.04542611617222	0.8529045493008989	0	72.67669106867835	67.21618749486197	74.30951671811897	184.04542611617222	169.08147419608085	158.6255338584673	155.42782928005997	153.97604851184437	153.0957151443912	150.6615393444098	142.3557617394391	135.19193027070585	144.8101343723059
9	u	不	bu	0.20999999999999996	0.30000000000000027	147.53411051794666	122.03947143637707	179.37068433604853	0.36667938687368545	0.8745263660506987	69.3366198146386	62.42478638655148	80.56774646823153	164.91712795655906	135.93567595809347	131.97924727044264	125.41797970698802	129.91064077385658	137.32605519496937	152.6822071801011	170.33601950064528	177.39384450555647	172.06513808570583
10	I	是	sI	0.06999999999999984	0.16999999999999993	153.10627941982372	134.47587540013677	193.3140369052029	0.8578106421292027	0.045264499895836356	72.29019996667266	70.21725467987457	74.68422200961342	185.2363314515437	191.234190760055	173.88371585770307	156.53324095534984	145.4344505359041	141.5491422121167	137.66383388832926	136.62477295284685	135.92726170396102	136.99042966536595
11	yaw	小	xyaw	0.2799999999999998	0.3799999999999999	176.2548978929793	169.21716888383236	199.60646940004906	0.8273706973766478	0	77.11502038907447	72.15695882765013	79.53860267834047	199.60646940004906	177.63316310963668	177.0313985976647	177.29709933900506	177.50766299169294	177.10812787489908	172.2706157376433	170.65541119039477	172.08041763076375	178.11496621135797
12	U	雨	U	0.3600000000000003	0.3600000000000003	175.622961459767	165.67857785904036	180.64849988271743	0.6788016103784192	0.21867419633636814	74.21745162843833	55.61358362051932	80.46294723702805	178.11496621135797	179.57392453071242	180.6011000426758	178.27519381073472	173.3809933725828	168.92301817096617	165.86989212220968	177.13210755014924	179.32515276929425	179.32515276929425
