interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	yaw	小	xyaw	0.13	0.24	224.69019909572162	212.32031137607703	236.49682429576796	0.8315881651672579	0.0890783912670347	80.17111162403066	74.75639148343676	84.3414416271129	234.32324310233972	235.76380297254198	231.63684853193956	228.10075068190298	227.51463069763892	220.43829193017226	216.9755832570555	215.79809227318066	215.23452964860897	230.7543770288978
2	&N	梦	m&N	0.15000000000000002	0.19	267.28649037355547	252.41023344548623	300.37871171277453	0.16138170661491846	0.8491762796126807	84.70962318504068	80.6569231840449	88.68138499179076	256.45364345401146	257.14636208522154	257.44230206748625	268.4823177014661	265.9345208412935	265.2073208380729	262.8831493481106	279.3638721411668	288.7792301272668	259.1403561187929
3	wey	最	zwey	0.30000000000000004	0.36	301.93614281959236	270.15350396631743	336.9952888185262	0.08445724700115878	0.5787396381837832	84.68002639585588	81.16687354313476	88.04257856767649	281.4296356249074	272.2897782524647	279.8520121068434	291.1534378761717	313.7051212503435	334.2393094134336	326.0195126622388	313.31717640928014	301.70264874629294	287.26986430331647
4	y	爱	@y	0.030000000000000027	0.12	217.3988517916525	138.01986688746283	288.62418373792417	0.9417287237995241	0	82.33378511938047	81.12623014168076	85.4274858366547	271.6734985990818	272.3864577921987	273.09941698531554	256.39262697143204	233.87925388854873	211.36588080566537	188.85250772278107	166.33913463989677	143.8257615570144	152.72095800623114
5	i	惜	xi	0.07000000000000006	0.17999999999999994	205.72515012170098	182.74272739555747	231.1804597579054	0.9625156480597165	0	74.47636653245922	72.59515086175739	76.85545996250679	231.1804597579054	223.4967351455403	219.18667226317405	214.87660938080774	209.58406074824833	203.15787471161931	196.7316886749907	191.42513940927196	186.2529465560626	184.4474497475062
6	y@	家	jy@	0.10000000000000009	0.14000000000000012	169.80563490106664	155.21788875631194	190.48611510486705	0.7126792556491461	0	77.57744692184859	73.7309424559684	78.93554076814809	190.48611510486705	190.21677503374468	185.0451312853241	173.24095903232273	165.20428442344038	159.42810840102936	157.2513441622499	156.02562874416773	162.1138653050463	168.94766336576922
7	w>	伙	hw>	0.1100000000000001	0.1399999999999999	184.56192716457153	176.81650805296454	189.38257260747073	1	0.7113273166374994	78.31939291129797	74.56506329798617	80.48307012754877	186.4479850782074	186.57589856997683	182.72580102891965	181.9772712816673	182.6145666728065	185.99722187950667	187.8873110341291	188.1426849888567	182.6408232946982	177.75142326625854
8	a	哒	da	0.1499999999999999	0.18999999999999995	161.69412558759134	110.60858394901409	189.51864428396993	0.770636348114503	0.979174328691441	67.37591660392536	60.48395723556078	77.2209791344516	169.8435657666501	184.78959603748518	169.87478966443467	164.3487459157162	162.47616403552774	160.60358215533932	153.02849853491296	113.13923838646703	166.86994195203218	180.1180062861995
9	yEn	连	lyEn	0.10000000000000031	0.16000000000000014	174.81445172500014	168.58496068197564	183.05923392680364	1	0.7438080569080928	78.21592243925346	72.4370323722023	81.54425969262498	169.6390783104331	171.32482957544704	172.86530665686757	174.20923631342626	174.95037018640588	175.329826589238	178.7885244286583	182.60160190360355	174.76176055224263	168.58496068197564
10	yaw	小	xyaw	0.08999999999999986	0.16999999999999993	227.75696554531586	209.57972308765977	235.69801492720367	0	0.2763383315774481	83.07440579970364	77.96200560799373	84.61225479007177	209.57972308765977	223.28027646359936	233.0371917931488	230.96319298352998	228.99710163787773	227.35473268412562	226.5880895817514	228.44862403351033	229.9410344720033	230.32907287069847
