interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	I	是	sI	0.06	0.18	195.2511942951747	177.2439210037169	214.9554509472169	1	0	69.28828010106045	65.39206119926465	72.23880108186023	214.9554509472169	214.9554509472169	208.39664804383057	200.9008732971033	193.40509855037604	190.10979380220576	187.41455619668648	184.71931859116714	181.05111720998906	177.2439210037169
2	yaw	小	xyaw	0.14999999999999997	0.24	229.4134001742868	219.26577774569932	241.55451834256925	0	0.9345526171158061	81.34593268520705	75.88081067692988	83.16794310091905	219.26577774569932	230.73810661398213	225.55644795681437	223.18932177052218	226.7504024630968	231.7394852001962	231.5724977168073	227.61011219421718	238.45152741039928	236.3285028808465
3	iN	英	yiN	0.20000000000000007	0.22999999999999998	229.97269992130964	214.49915312994452	246.82609016718976	0.21668662171442413	0.7977376537710321	78.58287529118428	73.10369380990008	82.98397458906975	227.25955905959646	221.8408702005172	215.80153700153548	219.98057689814615	225.51341291586758	231.48435470215153	238.16475554153413	246.04741432328444	241.79527438552978	233.8616453101807
4	@y	开	k@y	0.10000000000000009	0.14	227.44796644139	198.10500032665544	249.88932969898985	1	0	79.96498276780524	72.61952762599994	82.68937023628925	249.88932969898985	244.94781692180212	240.25505704045852	235.89884519466878	231.66150879365128	227.49549765949732	221.7152653802267	215.5092082273657	206.04999229589885	198.10500032665544
5	a	哒	da	0.030000000000000027	0.05999999999999994	196.5131364184031	194.3620293007344	200.34969379184307	0	1	70.36261558957492	69.61451773620713	70.52461031036347	194.3620293007344	194.5102229888874	194.65841667704038	195.2367177430516	195.95838793501557	196.6800581269796	197.40172831894355	198.12339851090755	198.84506870287154	200.34969379184307
6	a	杂	za	0.030000000000000027	0.08000000000000007	228.21897739091773	225.3863691495888	230.2995715852997	0	1	76.94342131774125	76.49531446934856	77.78406211241463	225.3863691495888	226.51407462747136	227.64178010535386	228.09485437553937	228.32305157649253	228.55124877744564	228.7794459783988	229.00764317935196	229.23584038030506	230.2995715852997
7	E	椰	yE	0.18999999999999995	0.25	212.9229593310316	200.44795800077935	235.64598308959108	1	0	76.80099490342754	72.36592053079448	80.05669417502565	235.64598308959108	230.175282831482	221.62285998560554	211.83650376027106	207.6677839856644	206.94727956272885	207.63085109688728	206.49097800757067	205.24762654384554	200.44795800077935
8	I	子	zI	0.09999999999999987	0.15999999999999992	186.13690986471602	169.2187909904615	206.91986835752004	0.8323577015778005	0.08752522235159887	70.27506778669282	65.18128412054621	73.97342613607228	201.62487504947535	204.90747515795155	198.86553152487957	192.41237685485407	185.58717410377508	180.8588217798726	176.92582651455461	173.101589627935	170.94916415861468	180.43769088193923
9	u	不	bu	0.050000000000000044	0.09000000000000008	213.2793913894179	198.55762583904837	223.65827076929426	0	1	72.95770923515948	70.96909353218842	74.6987600710397	198.55762583904837	203.0786317014481	206.6635350207383	209.74438312450806	212.8252312282777	215.85508131394639	217.91596905569435	219.9768567974422	222.03774453919016	223.65827076929426
10	I	是	sI	0.06000000000000005	0.1299999999999999	198.3430973099629	193.8204591367085	201.00730533448498	1	0.630388969720437	71.68396370831663	69.1400547965481	73.8905971822605	193.88459403235902	197.4109698353587	198.390628945814	199.00647138590557	199.62231382599714	199.74559348569434	199.7985070339066	199.85142058211883	197.04049947747492	193.8204591367085
11	yaw	小	xyaw	0.1399999999999999	0.22999999999999998	222.15031751996185	200.49076636889814	236.2108941319212	1	0	75.41143521754057	67.4858556067616	79.92164604192976	236.2108941319212	231.5414485684188	227.11652518601693	224.1851970165685	222.8751057557	222.89455419536318	219.7533169246408	218.77952971653494	213.08804476360967	200.49076636889814
12	aN	刚	gaN	0.27	0.3400000000000001	199.01055684481392	190.4354598830869	210.78992291194686	0.9180355645251411	0	72.26651311573754	65.12710494089316	75.98299840449828	210.78992291194686	200.3570660991299	192.96890565752457	191.47219829452737	194.60334717075133	200.42888361824797	202.85705948323601	206.66921740377714	196.08048732426795	204.19936142504582
