interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	yaw	小	xyaw	0.14	0.27	284.6749228722288	237.62560634994716	351.75209207586096	1	0	82.84122084810782	77.73726813262095	85.9882248256473	351.75209207586096	316.0349111498471	305.56406852577777	299.4231993860796	292.26859654023855	281.54633488999195	266.1247579073152	257.97824944827704	249.68222019097246	237.62560634994716
2	iN	莹	yiN	0.12	0.14999999999999997	228.4713477414686	219.60963192706802	238.46632295447924	0.04239864272218101	0.7346334789197273	80.66926476796426	77.75623752721356	83.85452360798492	220.70722310580484	220.9915475108101	224.02819659395752	226.8737140979671	228.4345398175077	228.36000166380003	234.66833149963549	235.87280062751628	229.96806016035163	231.62034079645173
3	wey	对	dwey	0.12	0.1499999999999999	309.52727020124536	241.38332793757573	377.2381614105241	0.8341001315183144	0.4137137962251005	77.87383472295343	71.90448517080459	80.25379010121121	251.22269551448522	314.38261149890985	346.36072568850653	362.0204553844803	368.38588611305374	333.95974028136726	284.8124276560145	252.22043699801694	255.21765455726435	280.51389403366056
4	i	集	ji	0.06999999999999995	0.17000000000000004	238.209025454979	230.892993285285	243.22676518626102	1	0.354685854023659	77.24557902873089	76.64383646700108	78.20494744210201	237.97328646921557	240.11824439948646	242.2632023297574	242.55137639624468	242.22062250813744	241.2059660235621	237.0453575952334	232.88474916690467	231.1152704402569	230.892993285285
5	i	体	ti	0.05999999999999994	0.08999999999999997	277.4937509071737	262.16867004162754	291.8419272515185	1	0.3100153570679316	78.36666286128684	77.7001346798034	79.54749782202069	273.41389734633265	280.4122677691061	287.4106381918794	289.6807724470709	284.07051308962593	278.46025373218083	273.46799101769784	269.5057227081514	265.54345439860504	262.16867004162754
6	w>	活	hw>	0.08000000000000007	0.14000000000000012	251.55036192618832	227.46341014370392	262.9333994969372	0	0.32743264912967446	79.22483249880311	74.88900023287606	81.5041098842595	227.46341014370392	243.6139500037218	259.2245435171611	258.09680028666196	256.9690570561628	256.5758856862264	256.3883944372476	252.68223678265034	245.87137347603664	240.93198238326184
7	oN	动	doN	0.20000000000000018	0.24	246.72099201826055	146.6042807567975	273.484830754975	0.887767632681811	0.29880015041580527	76.98827285938282	66.37099957891263	82.46681691461116	259.125876592372	266.6477471202587	272.27245438872495	272.9368258705994	271.3450862148833	268.089205487366	207.3316527465988	248.03878472139888	148.08228435641388	251.3357765319103
8	oN	从	coN	0.1200000000000001	0.18999999999999995	168.4039951170529	149.537202308514	200.61176846407875	0.5625841246132833	0	72.75182827163538	67.6009141192718	79.15585611172908	200.61176846407875	181.0508268400411	171.0055306036125	162.95263521808107	155.88414892704378	149.91055425599353	155.12615415317055	165.75484376587676	182.3841463355576	190.05370742478723
9	@y	来	l@y	0.07999999999999985	0.1299999999999999	224.76297424040644	217.0460971788571	227.26133787816914	1	0.5546150993136305	78.58938383792272	72.4579073841624	81.455487654917	221.85995158616973	223.72922223047672	225.56242206109326	226.2774266673047	226.99243127351613	227.04516726531375	226.91246804507549	224.90957288327886	221.2565048318721	217.0460971788571
10	ow	都	dow	0.07000000000000006	0.1200000000000001	224.12285370206143	219.37620685763758	233.36046446177596	0.471392212966957	0	77.89468562068039	71.58967140280407	82.24482907471535	233.36046446177596	231.24221885659878	226.7831219042398	222.32402495188066	220.53671511027926	221.83223655032128	223.12775799036325	222.61998741506892	221.89582179793422	221.5138151608656
