interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	yaw	小	xyaw	0.10999999999999999	0.23999999999999996	346.7354942904227	332.07697480884497	360.57420088205157	0.6035314053705676	0.2416494592464579	81.91820732890724	72.51911026746353	84.86375374100089	332.5790606899268	349.9821251262957	357.02108231979196	356.1833180087048	343.72795292865806	334.5850101544167	335.36800663381894	344.31393116513783	357.0720588819128	352.2001444875607
2	iN	影	yiN	0.17999999999999994	0.22999999999999998	347.5973442605984	337.5716629242445	350.5767127265991	1	0.19062763017460763	81.16447152461916	80.6905194955192	82.16963984743211	348.40155400962544	349.6248702814027	350.285382927257	348.54611256781834	348.76096247560207	348.7194838434417	347.5356885105375	347.72841529058826	343.81600552724495	337.5716629242445
3	ow	有	yow	0.06000000000000005	0.12	315.4970453563902	303.67849479649027	331.77065412278597	0.7596378621029422	0	81.65502808151193	79.57110516553733	83.93363018500358	331.77065412278597	328.9004134685757	326.0301728143656	321.87925748043034	315.5938843469533	309.3085112134764	305.6307047332219	306.2988426750056	306.9669806167892	305.37596261047986
4	@n	蛮	m@n	0.12	0.17000000000000004	223.52025534170363	106.15227360199843	275.66064234253327	0.7217747984842038	0	76.4171534879605	70.3083660429282	82.523524002457	275.66064234253327	264.4928186249839	253.64711158162126	249.6961256080154	240.02143909226228	222.39673293062634	149.48586674195437	146.43497340010146	237.94285886362016	249.4775699666335
5	ow	抠	kow	0.09000000000000008	0.30999999999999994	149.15237329118332	136.41353375939633	181.86821384913782	0.5823662491366881	0	67.17637358165312	62.17627636112537	75.49278300257605	181.86821384913782	173.15092711177437	157.7281310533443	144.9899813169827	140.30577054682706	137.19207629696734	138.78993160799564	140.9678120294759	144.88576778231226	148.80372353514858
6	a	啦	la	0.08000000000000007	0.13000000000000012	245.29053146035764	189.29093116652479	292.25173444583515	0	1	77.83692727600975	71.5818743673323	82.14494305177259	189.29093116652479	202.5517613365041	216.88314436280655	231.21452738910898	241.73631137584906	251.8639989102209	262.9753773955916	274.60202256958047	284.609856185072	292.25173444583515
7	yEn	连	lyEn	0.31000000000000005	0.3599999999999999	247.30485694034778	196.20195375242486	306.5314251611711	1	0	76.22888562616602	61.71686369317328	85.51014651261167	306.5314251611711	290.1167255693266	274.79186807809094	262.4362441519951	247.61263860671448	234.29886359381027	230.68074348911384	226.72860968844205	207.60290677551146	196.20195375242486
8	yaw	小	xyaw	0.11999999999999966	0.22999999999999998	306.9529784102145	291.4483650090546	317.58922458057316	0	0.17624238855428978	79.92175386803355	75.92954536693003	80.95560974016654	291.4483650090546	310.82510632251564	310.6818460160501	303.45942128330586	304.00910540926554	306.1794513221545	309.3205552244746	313.4760644703783	307.11878336627166	297.8512229685654
9	iN	影	yiN	0.17999999999999972	0.20999999999999996	324.5932865348478	279.5288642529201	341.698074124894	1	0.6180458144541203	80.63871242644133	77.66020220614561	84.6984456689243	303.28075455273324	314.7266125496988	326.4915301691855	327.7764342907813	334.6045834853125	340.97179560488155	341.13642304121703	336.23128577402815	305.0901233674022	279.5288642529201
10	ow	都	dow	0.06000000000000005	0.10000000000000009	261.27535935100514	247.47970101506132	275.39992378086504	1	0.10097492369639148	79.9787811873104	76.6791914996405	82.67916743909386	270.034584181677	274.72780971731356	269.8245532983545	263.5503708858816	257.2761884734087	257.09746827824796	257.78952839984595	258.48158852144394	253.39351169323876	247.47970101506132
11	@y	买	m@y	0.09999999999999964	0.16999999999999993	271.4230381041448	252.0159463824648	281.09232662620684	1	0.38336956569251207	81.54254650482083	78.18751851897213	83.28757445639539	269.3820522768608	273.8091610877149	277.4715387319775	280.09928009202764	279.6960259146566	277.47417441483304	270.7470792162316	263.13093381085747	258.11248275851347	252.0159463824648
12	a	哒	da	0.029999999999999805	0.06000000000000005	229.16736910799463	227.7909789430737	231.5910819998122	0.5423980367405173	0	75.83626606589387	75.53386204423768	76.69574986354307	231.5910819998122	230.2646268773382	228.938171754864	228.67164041591212	228.75841700480058	228.84519359368906	228.93197018257754	229.01874677146597	229.10552336035445	228.42651730754255
13	a	杂	za	0.040000000000000036	0.11000000000000032	256.4787702592313	255.26944115410305	258.06674716342434	0.8509808190004123	0.24332283456397463	79.02926807756714	76.64021764108756	80.87163968508801	256.4964307143795	257.4023723091219	257.8454531943939	257.2702405188314	256.69502784326875	256.1198151677062	255.54460249214358	255.53454335867818	255.65490427338895	255.7752651880997
14	i	李	li	0.16999999999999993	0.23999999999999977	286.31342826050644	254.28845962840026	302.860234993163	0.9316605475240508	0.5608516419492197	77.48267518597842	71.78593459553194	81.51951511814822	283.24397701506507	289.69451290502286	291.23489217656885	293.2309560332189	297.75456108705924	302.0959852491302	297.1985501211844	275.72364159160895	258.86246683338555	261.77020385356644
15	I	子	zI	0.1499999999999999	0.20999999999999996	210.74044946974735	193.7515550428679	242.02750124502518	0.8571947537985711	0	73.19893887788264	62.206859930889166	77.66068306167213	242.02750124502518	235.31521088139047	226.54400716582512	215.2219438447196	207.31020748408864	203.3053054406664	199.3307813693046	195.79512962889282	194.6431559744319	197.67127431768327
16	a	她	ta	0.06999999999999984	0.1499999999999999	244.93161460488403	223.20907362704733	258.9217943769382	0.5412682231071145	0.12289827003314995	70.88267038392017	62.668859599948405	76.74069666812296	253.88717245290368	254.6206455196584	255.3541185864132	246.11179469289675	233.54420514595748	225.29707164066508	236.92403592694382	248.55100021322252	251.4736959230065	248.76421784800002
17	&n	肯	k&n	0.14000000000000012	0.2200000000000002	289.5994928661889	274.4372680310009	301.43355913495833	0.22492683366028812	0.6278621077614798	77.58591514693497	74.95316688217125	80.37634929556512	275.64290358981043	286.6147243617032	276.5006681906642	283.00420851004543	290.0088944631323	297.0380761356039	298.9979207917225	293.15055164288736	293.8145380502788	284.7551820913707
18	iN	定	diN	0.10000000000000009	0.14000000000000012	242.07554042861116	217.1852903376764	273.70009846161173	1	0	81.59185983355141	79.00634329272032	84.04951126206589	273.70009846161173	264.5303680257814	252.3220639179351	244.88049354372473	241.75168226185195	236.8165495647111	231.19626046867555	231.34556138275292	230.25216888512645	217.1852903376764
19	@y	在	z@y	0.08000000000000007	0.14000000000000012	186.0097502110268	172.72589692938593	202.21834022970802	1	0	72.46265119992258	63.75640703762022	77.06987540585186	202.21834022970802	197.1282351601816	192.314768295339	187.50130143049677	182.3696659140513	177.20511639916518	175.42980250342296	--undefined--	--undefined--	172.72589692938593
20	@y	该	g@y	0.07000000000000028	0.09999999999999964	217.15048929567746	203.18915064822806	225.6906476489658	0	0.5957876326943992	75.18465996979037	73.55011528174678	76.36717663574008	203.18915064822806	206.5938111847508	209.99847172127303	215.0476193321534	220.64492930115355	224.83497395746554	222.55159817541426	220.26822239336295	221.0933955981132	223.92998285314633
21	y@	家	jy@	0.0699999999999994	0.09999999999999964	256.61695022188457	238.2246410565768	261.7463738917452	0	0.6886003779491933	78.00076578146128	75.58119764660911	79.81653413482256	238.2246410565768	246.29341550156963	254.3621899465613	257.7023692744116	259.4663502298815	260.92948406692057	261.0087211591762	261.08795825143187	259.7966420221644	257.6184971730875
22	yEn	店	dyEn	0.15000000000000036	0.22000000000000064	380.02438234130176	317.8705063250316	419.76853545429316	0	0.48076328205084334	73.66954430921618	69.97711220650403	77.901099887936	317.8705063250316	343.14636230033597	370.4042877865769	399.4206348101913	415.51556785579504	412.89367712430425	397.4200482407193	390.0862949998468	362.38120150251996	328.37689316934217
23	I	子	zI	0.05999999999999961	0.09999999999999964	252.418971134556	234.44769712410454	280.85926307429787	1	0	79.06414796586418	76.56935216863121	82.1723569243947	280.85926307429787	275.49521128539607	267.18226446733104	258.44804693081596	249.71382939429947	245.6646211437282	242.28469993400608	238.9047787242845	236.59947923021903	234.44769712410454
24	i	里	li	0.03000000000000025	0.0600000000000005	259.3180430831922	248.83870172967036	265.4780837402189	0	0.7630178028988328	78.48074421859926	77.01285726065895	80.76650019738474	248.83870172967036	251.84588861878743	254.85307550790606	257.8602623970231	260.8674492861418	263.87463617525884	263.9509434027685	263.0502907430763	262.1496380833838	261.24898542369147
25	yEn	面	myEn	0.11000000000000032	0.17999999999999972	209.06014703887445	160.50672712948483	264.092805586589	1	0.3226520078956186	75.09177072750289	71.43578423471169	79.15928669920929	235.37177902365178	223.1764585690521	233.74609411110808	261.61709621062187	224.49407029264876	194.27103533343984	191.84224636711264	184.91039311110939	175.518666068546	160.50672712948483
26	yEn	捡	jyEn	0.13999999999999968	0.25	250.12349122026373	227.4370301485877	266.26536392770583	1	0.29994860401318685	77.34493624039317	71.42743651667882	79.7221702677987	242.57966921939314	260.91950331213746	265.22005801888116	265.6487272142432	261.5684334233855	250.2036076868786	242.9922143811522	236.52841116929577	231.19627346037373	227.88781695759198
27	a	哒	da	0.040000000000000036	0.07000000000000028	198.19169440656404	195.48713356233804	210.38020231909167	0.767065238988484	0	75.78286249941615	75.25581756315133	77.40236909183704	210.38020231909167	203.47422724023448	198.50566201557558	197.7993984701425	197.09313492470943	196.38687137927636	195.68060783384325	195.84494449555848	196.2101888973846	196.57543329921072
28	i	一	i	0.08999999999999986	0.08999999999999986	213.9839938431774	196.57543329921072	224.54284276172456	0	0.6188773179235074	74.1180697074455	67.77837205147853	78.41992370417971	196.57543329921072	198.73784072399937	204.92207071082817	211.2747435336777	218.1327448645865	223.10657208512364	222.42787697454898	221.33218305747906	218.98549272092453	216.89685130897604
29	a	杂	za	0.05999999999999961	0.10999999999999943	243.51866600162776	238.33521742418992	251.83137337011766	1	0.1352012843897752	78.22693040593512	70.55343351542984	82.55625739874252	247.6185057968614	251.3544842192337	248.92959309637013	245.6245777527595	242.31956240914886	241.2118523599693	240.41804306713735	239.6242337743054	238.9697721913961	238.33521742418992
30	aw	好	haw	0.22999999999999954	0.29000000000000004	267.93159062941834	219.4217925581264	277.98013467727793	0.9926458251944879	0.07073747938418799	80.52369005479385	67.00960220693283	84.2239763851856	260.08174131217794	271.92147309240556	274.43720652592964	276.8527033874853	276.9775004177251	277.0617243112511	272.3507891155248	268.2983761301018	246.51602199460729	221.9023438071102
31	a	大	da	0.05000000000000071	0.09000000000000075	185.96767587694075	165.8726944871905	216.62353294771611	0.8465242947494702	0	72.47137869076917	69.85516673715135	75.28884695444692	216.62353294771611	209.0237308646895	201.4239287816629	193.8241266986363	186.59290978922476	179.42673732221445	172.2605648552056	167.51111593965638	170.01183767848465	172.51255941731242
32	&	的	d&	0.03000000000000025	0.09999999999999964	193.06780194516628	187.9698605852672	196.54347344913054	0	1	72.94376202341937	72.70213803961961	73.49812311463306	187.9698605852672	189.23148801889013	190.4931154525139	191.7547428861368	193.01637031976014	194.27799775338306	194.9834183792573	195.50343673588176	196.02345509250625	196.54347344913054
33	ow	篓	low	0.17999999999999972	0.2599999999999998	238.36798776464747	223.3093521291774	242.6710319391062	1	0.4493855147375271	76.73159689937125	67.8514242486837	80.44163979505714	233.82387310847383	237.1645781528774	240.5645939102263	241.99719470510135	242.38460789141556	241.28053812238042	239.2826090226704	234.4339192545036	236.36692037996215	223.3093521291774
34	I	子	zI	0.1299999999999999	0.20999999999999996	189.1427903225964	176.09917353794293	197.78178219182413	0.523052598870135	0	66.30891504845758	58.97507347685216	72.1843231083132	197.78178219182413	196.22008358054038	194.88779254599558	190.68045909129765	182.6013640847667	178.96281148581238	187.69814955859766	190.7556688903104	189.44705975251242	185.72946099076492
