interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	yaw	小	xyaw	0.09999999999999998	0.7599999999999999	317.0155804850095	305.1575354011984	328.6357180401822	0.534952589604858	0	82.55900943190164	76.07630759141814	85.12442994975792	328.6357180401822	326.57024587867744	322.0368093514001	314.1643622116068	309.24166659326744	306.08882188780035	311.6131565974475	318.82767088100326	320.1752497492284	320.38881125816556
2	iN	映	yiN	0.15000000000000002	0.18000000000000005	403.41317438601595	317.9640650703087	504.960986100035	0	1	76.84680651344448	72.87042050763225	84.28035863830287	317.9640650703087	330.436846805338	346.0657013989521	359.55763106576364	396.1921833716769	401.50210393716156	434.23386541668145	465.73748004764815	487.2439365927951	504.960986100035
3	yEn	连	lyEn	0.24	0.3799999999999999	196.60216576564224	172.1840928495469	259.017589299475	0.4519246800872919	1	76.60562638166046	73.46313897168095	83.19149925068832	195.44381476980504	184.2557518468617	179.8071609151282	175.2049491284219	173.14991243129555	178.63264842793106	198.80301213857237	220.02819234819918	237.30619519488135	259.017589299475
4	u	不	bu	0.030000000000000027	0.06000000000000005	314.7023838294085	280.3624007807306	341.31255165846045	1	0.17489343070167235	76.34893385527575	75.78916563803648	77.09514668509902	326.94533497723836	333.063462072486	339.18158916773314	333.4532929882459	323.77618905051327	314.0990851127815	304.42198117504887	294.74487723731625	285.0677732995844	280.3624007807306
5	iN	灵	liN	0.16999999999999993	0.20999999999999996	242.2880057880539	218.29273842794146	284.36577105005205	0.33238104873317764	0	79.07377338296237	74.00504622348436	84.16404588622882	284.36577105005205	252.86568570354885	228.0743190974988	218.73209605246103	229.22393413300256	231.69604972875604	237.57257413244247	251.41384005078848	255.95933109110774	270.3346482421558
6	@n	泛	f@n	0.15999999999999992	0.18999999999999995	349.9219327732082	273.0837727405808	401.08019668415204	0	0.26244723308921786	69.38255165480446	58.74132303652	78.24333187509944	273.0837727405808	396.8383104351957	400.531632797231	399.6852564065488	394.1202994849539	371.28496282032023	333.46846286089055	297.37846680036614	279.0235212341481	277.91488985355124
7	yEn	连	lyEn	0.08999999999999986	0.16999999999999993	230.69293956015306	218.92650460884266	239.5445119353734	0.2081324144455132	0.7980204169447459	80.2286960273983	75.14110972733938	83.89542488215956	230.23741960767833	223.79889539428717	220.22654444471473	225.25271328659704	229.91839811569346	233.5026309064314	236.5441236916222	237.95739646017137	237.7356323255916	232.60875748162644
8	yaw	小	xyaw	0.1299999999999999	0.20999999999999996	319.2707831439768	306.22995477315476	350.00103799782295	0.4604375702208477	0.010048654674778607	81.25986432206504	74.55345304753874	83.41858475988444	344.96904900831333	336.12256072804075	313.45193043344915	309.4906760640422	307.6759805410328	309.3516548071278	316.4217416050693	318.7400447431684	323.37463527491695	330.23442109206036
9	iN	映	yiN	0.08999999999999986	0.1200000000000001	411.7777443588402	352.07124342748256	452.47867526185115	0	1	76.26411755676146	73.83859788313809	79.44301713821888	352.07124342748256	363.17171352193486	377.2980955133466	395.1700499760238	424.27872185249936	443.5532492756921	433.32534333904647	428.4023835892721	439.39426240010926	452.47867526185115
10	ow	都	dow	0.08999999999999986	0.2999999999999998	260.30107516062657	239.83023594544522	320.17920210781625	1	0	83.13582899766041	79.49358974673073	85.68613167856375	320.17920210781625	287.8577206904683	273.49822406983	261.5809306751692	256.9902469584352	252.39956159426424	247.80887128778036	243.89121903906468	241.99268096365165	239.83023594544522
11	@y	卖	m@y	0.1200000000000001	0.2200000000000002	358.2562838668789	287.0910669956343	402.7150547504874	1	0.6247011937626662	79.46158027373367	70.89529670984555	83.30269456137296	308.53243851691934	328.2806269330163	348.5851100239205	367.46848452182206	379.09798984815035	391.697908943621	398.1870934240076	376.2850068452775	332.8458425185494	293.64772871524195
12	a	伽	ga	0.08000000000000007	0.1200000000000001	313.15160249867677	291.0074751618437	347.55011061019616	1	0	77.27120769431842	70.72339182077579	82.23800260683133	347.55011061019616	334.5763076725058	321.7718117407785	314.21583299392375	306.6598542470695	306.9032872259356	309.3305554880031	306.4257241022169	298.81609890950267	291.0074751618437
