interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	I	是	sI	0.08000000000000002	0.16999999999999998	187.93040207680616	157.67761368066522	215.02408264063095	0.862611761443238	0.2355747146895896	69.87138201228524	59.698800651457674	75.12406242201966	209.0591108007182	209.2323554304425	210.34112106067812	211.44988669091373	197.62795556135868	182.26146959458376	171.37730586880946	162.84102522165446	160.3311270859408	166.6290187746415
2	yaw	小	xyaw	0.14	0.25	227.31642388704532	220.969089784278	243.57681853574545	0.37997626585918076	0	82.14882215870617	77.44002987585208	85.32511997492131	243.57681853574545	226.13152415749408	223.21617988035104	222.06499913188793	222.15501278475884	225.60280792539376	229.72154279595568	229.31624884638882	230.1520290195309	234.12098460774914
3	&N	梦	m&N	0.19999999999999996	0.29999999999999993	332.7393818448353	272.5727158348755	379.54927117680654	0	0.6387654459242915	83.52781734081232	80.51707066827592	87.53743468063266	272.5727158348755	284.9183226547103	298.00820309558003	314.62282188571254	338.19498292523605	369.3465338485597	377.5848341259156	363.20275267098623	353.57386217702657	313.9541951295208
4	@n	烂	l@n	0.11999999999999988	0.15999999999999992	196.08582592847688	170.45125973071094	245.0537387563249	1	0	77.79596935530414	73.41487821490463	82.80002906775618	245.0537387563249	239.26950657372475	218.9914775739468	196.29199242558118	191.64791830353704	181.5756176648772	172.57986934632984	178.94114240221097	176.46673565477644	171.3870233277651
5	a	哒	da	0.050000000000000044	0.08000000000000007	168.34796589568631	158.00830243829378	171.07061530890917	1	0	70.50825977561058	69.96330265179218	70.99095080575572	171.07061530890917	170.32668175049588	169.84951765124526	169.51599864538997	169.18247963953465	168.8198467966381	167.90405104995804	166.98825530327795	166.0724595565979	158.00830243829378
6	a	杂	za	0.09999999999999987	0.18999999999999995	193.35138504692324	146.4191153790418	215.1244228709565	0.861732542347392	0.12210609323898963	72.37606302201984	65.53783458785428	78.25712921218278	211.23457574965408	214.15710672935086	212.27437092926482	209.68880695681415	206.46735082841448	198.1883027478558	187.99085771992634	166.36168102313385	150.3072250252613	179.76409405621138
7	wey	柜	gwey	0.16000000000000014	0.19000000000000017	174.97561336270925	149.95553721830066	207.33277123318302	0.988326165461576	0	73.49293956217548	68.77162149650825	75.8625560624227	207.33277123318302	207.14229038204044	195.28173711286647	180.79286591768602	171.823546220127	167.44831361123968	162.9409913151141	157.79094982574514	153.89299367686982	150.52736761969945
8	I	子	zI	0.07000000000000006	0.1299999999999999	162.36076693811017	143.15720728541137	178.81544539154848	1	0.16601993672956816	71.48224802819611	67.77436343595056	75.6197213947771	172.68076567873797	174.88033474715107	177.07990381556408	171.2740447572053	162.79970965658902	155.7525578657221	155.2704492997042	154.7883407336863	150.27650822597826	143.15720728541137
9	u	不	bu	0.18999999999999995	0.28	192.66363474489367	157.83266338523603	231.44605415714412	0.09897166322970251	1	72.83981190001701	65.14173194108308	81.37192558766819	160.60686672555343	158.2829857659694	162.2117956014579	171.81223894452566	184.20911264837918	198.3130675306992	212.5429075728835	223.5246186126257	227.6328312015511	231.44605415714412
10	I	是	sI	0.10000000000000009	0.17000000000000037	168.8068534762296	149.54553703587635	216.0516681812192	1	0	71.62159326393794	67.45120549001076	73.0615742562045	216.0516681812192	204.79595787949253	190.55247012975795	172.26669524448374	161.3143922603619	154.76217241693024	152.44003178295083	151.03091172492174	150.23530248713968	149.54553703587635
11	yaw	小	xyaw	0.27	0.3799999999999999	209.65303227969002	204.47145660823145	231.30702070916087	0.24430343853258682	0	76.62702595617905	69.30501447746278	79.3847880576669	231.30702070916087	211.59029683526472	205.11518232794688	206.89368385416088	207.4922743576968	205.56207387094415	204.9098476629829	213.25250781820947	212.93462972377012	211.84123794852528
12	U	雨	U	0.22999999999999998	0.22999999999999998	192.9579593992649	134.8794516943689	211.84123794852528	1	0	73.68968579941337	70.86916794543474	77.33135989910664	211.84123794852528	211.28806959486786	209.625266329085	208.31147775429378	207.17242065709897	200.65408039602403	183.442519229153	174.33363625588223	162.55409257728667	134.8794516943689
