interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	I	是	sI	0.08000000000000002	0.21000000000000002	207.26465129641497	186.4127301988879	220.44167232049196	0.828890092551776	0	68.61225561635793	60.410541583947065	70.70618151545185	220.44167232049196	219.8813115682223	216.29500275369634	212.7086939391704	210.82238800327855	209.11194443414198	202.1006211199821	192.3126465108101	191.55036952193672	203.97949674734573
2	yaw	小	xyaw	0.09999999999999992	0.1899999999999999	254.74416050475594	233.27156044769055	284.5967921375403	1	0	78.97962444102382	72.36748995672605	80.63793824542034	284.5967921375403	270.1541761702775	260.7497741632367	258.1617792788495	255.9371589300568	253.93056330262084	250.3205459211502	246.30099365113477	239.57425160215794	234.52333747523738
3	o	岳	yo	0.18999999999999995	0.24	220.5813277671803	194.5505249533935	276.4764268715151	0.22719529641502467	0.9801080271049045	76.94062477105771	71.56603311008513	82.63036968063524	210.32757491084882	198.83799588821137	195.2458371694531	198.73202722576892	204.14854360071578	216.57770812280236	229.59162357354	245.63445285294014	255.7088128703359	272.7820380686394
4	y@	喫	qy@	0.17000000000000004	0.2300000000000001	263.3963924316063	222.7514564878508	289.19388483718745	0	0.37078655995335297	73.84500745723946	63.38784600334193	79.38468565156919	222.7514564878508	261.0217965493846	260.6386245726431	286.6855696508157	280.6760300562635	272.0303995863688	261.70188103793186	257.2169926682021	253.03588458476446	249.4444285399115
5	a	哒	da	0.06999999999999984	0.11999999999999988	254.75774470561456	253.78181524729487	255.7872377422161	0	0.899076928480482	76.17135316114715	74.56041712802575	78.30612843919349	253.78181524729487	254.15795749934662	254.53409975139837	254.5341228452143	254.40877288628502	254.40398610341776	254.95378993043616	255.50359375745452	255.62087262116074	255.4582823909591
6	a	杂	za	0.08000000000000007	0.14000000000000012	239.79984586525734	234.18595007341804	250.63651704904032	0.2904172414740916	1	76.17651100231829	72.84483752419303	78.13347435141254	240.45191170651614	236.3940434907791	235.4223208113188	234.45059813185853	236.55079387756606	238.96877428794625	241.29635101300815	243.57657342671286	246.57887327006063	250.63651704904032
7	@	鸭	@	0.050000000000000044	0.050000000000000044	253.89508921405377	243.94571800932061	260.21338087330315	1	0.463052660881171	76.88408018684437	74.85285006947367	78.2746597729544	250.63651704904032	253.17254441090256	255.08545116401055	256.66283143548145	258.2402117069524	259.5385396749787	255.53487387756013	251.53120808014154	247.52754228272272	245.4830212670504
8	I	子	zI	0.10000000000000009	0.18999999999999995	196.95446214095574	154.1782576072381	224.19698925683974	1	0	72.82424206846545	67.08901012291182	77.62918974500434	224.19698925683974	222.0801149171494	218.87333665848377	217.32685711645098	217.28255260375275	199.76550768138532	175.6208715691429	168.43833356386395	162.33714409384555	154.1782576072381
9	u	不	bu	0.11999999999999988	0.1499999999999999	254.95009191546217	204.33344774050795	295.9239047443356	0	0.5689374713488429	75.48086996615622	68.5070432224846	79.63294147966234	204.33344774050795	214.73297045831347	227.71088894508992	247.38946327939195	269.5489992109338	294.32400098056866	275.9770318576547	268.07894372232386	277.3113000761045	239.14942173540592
10	I	是	sI	0.050000000000000044	0.1200000000000001	233.79959729433722	220.42761086506124	240.6481452480653	0	0.4948614982299655	72.22443239055187	67.63617263347874	74.8257473701303	220.42761086506124	226.33344190354543	232.2392729420299	238.1451039805141	238.22835823559183	237.28409894065646	236.33983964572107	235.2351190196842	233.64901440034254	232.06290978100097
11	yaw	小	xyaw	0.13000000000000012	0.21999999999999997	263.4567425363084	235.9512116011952	296.99131977883	1	0	77.95030414902435	69.27277719105018	81.33245330400942	296.99131977883	287.312007748231	279.74209297093904	273.6531502895985	268.8916721206344	262.9417265922669	251.6047085921268	240.6909357182786	240.35184158363938	235.9512116011952
12	ow	陆	low	0.2400000000000002	0.30000000000000027	242.32754258757396	160.03968987607857	285.3711821097105	0.7696820940980799	0.8724900792316814	76.38811639538709	61.58702500806192	86.2257399421205	251.9154461490333	267.1900424315555	277.11152592991675	275.96808873486066	262.86337334963076	219.11074649056147	217.88036484319292	164.7753126460167	260.10091454638774	191.6089038630172
