interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	yaw	小	xyaw	0.14	0.2799999999999999	239.52391349126347	218.3776867223954	266.77974633705026	0.8924357241074344	0	83.57883810605144	80.74216744133061	85.56745192854932	266.77974633705026	258.9374874564528	252.70089675448565	247.6806893584996	243.02974912001213	237.61743180519792	230.53467781510471	223.2247013106216	219.61634755530181	218.5498002700033
2	iN	莹	yiN	0.19999999999999996	0.22999999999999998	191.09950154663545	176.87999389784395	213.9912842807724	0.3376220093118693	0.9371301426333764	83.31512314732011	78.53838271501348	86.32354685862161	196.7646338847556	185.91649744324528	183.46334288570705	177.1522548336645	183.41161033421903	184.99110443283536	195.04883254734605	202.52847039453007	205.62406285985097	203.07315952801395
3	wey	对	dwey	0.1200000000000001	0.16000000000000014	245.79462512397075	178.04976720227646	269.3169365812942	0.9381970895392546	0.6304448057224867	83.87655811281546	76.40696059386926	86.26617474626241	229.49330493845986	250.10923044594577	253.46522185425312	258.1171802898424	263.0629411760405	268.2753651821115	268.10405525258676	242.70223657655887	185.32265527807982	199.26978178763977
4	i	集	ji	0.07000000000000006	0.18999999999999995	213.30488846293443	198.9681181263065	222.45594319662246	0.9777254452614387	0.3272523406892211	76.39459002211389	72.65951674360554	78.74584888137588	216.41523571549988	217.61383193573744	219.35158264872527	221.08933336171316	219.84312333427215	215.15388168325887	210.4646400322458	206.15252910849767	201.88567387202133	200.12593245503484
5	i	体	ti	0.030000000000000027	0.07000000000000006	226.21087103590014	200.6023886091088	241.35871166218254	0	0.8461335557700042	82.34527845265211	82.10956236932974	84.47237635663262	200.6023886091088	207.66423707485163	214.72608554059386	221.7879340063367	228.84978247207954	235.91163093782177	237.0504371612762	236.21489597063425	235.3793547799924	234.54381358935046
6	w>	活	hw>	0.07000000000000006	0.19999999999999996	220.02132417292611	203.39202153831826	224.94700978824596	0	0.5837816762156345	78.21335586521592	73.2279335934328	80.94357479135326	203.39202153831826	210.8030004513395	218.21397936436074	221.46062131117563	223.3191509359215	224.6810291436386	223.75831083302324	222.83559252240784	222.0500309016052	221.35321772715187
7	oN	动	doN	0.09999999999999987	0.1399999999999999	243.168083718958	217.0808832355369	260.65558834616934	0.9172821420191258	0.08141991050902642	82.41684237870865	78.73542328977754	85.14385358396179	256.5897376416673	258.9281120558205	253.6450179049491	250.93493394599219	250.5528115892435	246.30892793484335	240.6002382709894	228.66717273230591	218.4148296389186	223.46029753750847
8	oN	从	coN	0.11999999999999988	0.17999999999999994	154.54803057540636	141.47432496588033	190.55953887870484	0.4512046324494039	0	79.18032540426258	76.46570490730285	81.51293067340961	190.55953887870484	170.23934934858295	154.38511740871178	146.4075943131663	142.87289737487788	144.37525902354912	150.92339963235509	154.7969261194066	154.79916768190463	157.12217547364364
9	@y	来	l@y	0.0800000000000003	0.13000000000000034	167.77761618565282	157.2855682328513	174.9778624364987	0.9629296423693471	0.21968097532646588	76.67532230558899	71.1048722676799	80.67925521209911	173.1395212434448	174.07326716036593	174.94908539144936	174.0291453615642	173.10920533167902	168.45512536570257	162.75548621762027	159.42346677635015	158.180523546973	157.67088043562057
10	ow	都	dow	0.0900000000000003	0.14000000000000012	174.7805180143122	167.97179012118107	183.1108104952784	0.9017879410777111	0.09879029663771698	78.18823900136441	69.35891175087572	81.57884141573219	181.49928406546184	182.6913375839895	181.0856367120111	178.6189186199494	173.5691488676389	169.9845491306409	170.79545943958001	171.06703093283534	169.72058597903964	170.21308711554957
11	u	不	bu	0.10000000000000009	0.1299999999999999	189.60951200000466	184.75154887261823	191.1812885507488	0	0.4925413539775909	75.45760880574875	72.47214580330969	79.72281592010715	184.75154887261823	187.78409878545799	189.6895733589816	190.76465730102854	191.0884354336443	191.0127981465752	190.785658458936	189.5521791376948	188.4862480619653	189.16432044280697
12	E	热	WE	0.0900000000000003	0.16000000000000014	198.47793619645353	189.54812915779266	203.50611116600106	1	0.5801901905711817	79.8677450417334	78.5419053775941	80.45600427437114	192.59592651725978	195.3286749618651	197.86964697616472	199.83528969954784	201.54871562057735	202.50549113454645	202.44811384791788	199.3482781594969	195.5283469461036	189.54812915779266
13	in	心	xin	0.2200000000000002	0.33999999999999986	186.17642063475873	179.40434749867742	219.12733314569303	0.5132257869345868	0	75.781697174103	66.30512715462876	80.89200632907878	219.12733314569303	195.50792793681381	182.97924866239137	185.14212356223555	181.48359348141022	180.44381648792282	180.68166641421402	185.6552611269707	187.50331678161785	179.41473086469145
14	yEn	连	lyEn	0.25	0.3299999999999996	205.05278366140007	189.54938872003413	214.29220261352825	0	0.8350705431796293	80.0742844486713	73.18084432156715	83.54510577456392	189.54938872003413	194.7087780537056	200.38675953176053	204.22291105421803	208.48084172630973	210.7923508608255	210.98802533088087	211.92950741340533	209.5715751460778	203.84920936599357
15	yaw	小	xyaw	0.0900000000000003	0.15000000000000036	249.24621792415834	221.06554358932155	276.60581084679654	1	0.14763093487401088	83.38124843533849	79.87674754484605	85.87506528249175	250.63187823478455	271.3634348281957	263.2658849053654	256.16747665644016	252.06649342923265	247.89440389367562	243.50899543307193	238.2903048390659	230.5717678448558	221.06554358932155
16	iN	莹	yiN	0.21999999999999975	0.2599999999999998	178.33166307400774	156.60965252377463	214.7590289314428	0.2898065656928389	0.8282257171163829	80.2430102939066	76.49911482707368	82.42642403422012	170.26890538431817	162.36655450205365	157.92185422236815	157.2579306271175	163.02522629826515	174.49386465097018	186.16555498253098	207.16168463702343	207.05020703588718	207.9335599983427
17	ow	都	dow	0.14000000000000012	0.20000000000000018	203.12598131002727	193.1318133043001	217.10556697829793	1	0	80.2392459471419	73.60598875474605	81.73614608615185	217.10556697829793	209.79213785463696	206.65243833864733	203.64411679689613	201.54217257086154	202.2411739365953	201.7475554668553	200.31871755194405	197.32703057474325	193.1318133043001
