interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	yaw	小	xyaw	0.15999999999999998	0.31	283.661061837503	276.8051008537619	306.6999031691877	0.43853855883073606	0.0672902726118245	84.65582953578952	79.03022607002497	87.80759823994596	287.2063363924245	292.8391496184366	280.0106829057424	278.3964576876733	277.06631712788777	278.24678998665195	279.97774865498224	283.1497809643502	288.6114176585667	290.9416094066431
2	iN	映	yiN	0.24	0.27	352.5711987045843	270.2148822968811	415.01027443071433	0.5792888215327502	0.4635799883306614	75.1012816338722	62.935884208137445	87.04072692487401	296.7434593475183	306.1006174435239	317.47978177650316	356.87861642646516	389.8136236406459	299.2283179998339	374.8244063182576	391.1822807796925	379.55266988897114	399.72125126097166
3	yEn	连	lyEn	0.3400000000000001	0.42000000000000004	181.38036157497413	159.8500499639799	232.5248482256256	0.3809414628216365	0.9295904263428958	79.71977566840559	74.9696966351334	85.32967077101748	181.13947719357645	170.96102673536382	164.42152786440198	161.6467519301436	164.03324424781124	168.16976777535302	178.76002336245534	198.90800334209996	222.41942131070005	216.75660454770525
4	u	不	bu	0.030000000000000027	0.07000000000000006	295.69725069937306	272.1834436686391	322.4427478850625	1	0	79.78093223587899	79.32564963144178	80.38350947084349	322.4427478850625	316.2428207203888	310.0428935557156	303.8429663910419	297.6430392263682	291.443112061695	286.35119295014897	281.6286098563122	276.90602676247585	272.1834436686391
5	iN	灵	liN	0.18000000000000016	0.24	209.60825189801682	182.13541153382974	231.96699644443018	0.2656942927696752	1	80.66788454714413	79.09421067337108	82.88724273535533	226.93017111818546	204.25018058930408	187.99943043169867	191.29130936480334	200.6750543875209	209.37056701592752	220.22211437213969	224.31295856823436	224.10359196199326	231.96699644443018
6	@n	泛	f@n	0.2100000000000002	0.26	276.622002751454	211.31958669203243	323.63588652019484	1	0.0518763450665149	73.90020032286291	67.2673059357379	80.01809413643844	322.36892038085307	321.78434239268176	313.8982517913785	289.91468692593895	256.52311388710103	280.0275273217963	270.630645194164	248.4211625528257	240.60760870896704	211.31958669203243
7	yEn	连	lyEn	0.10000000000000009	0.1299999999999999	214.37459097917406	203.27344783601535	253.4705099043802	0	0.9623681687240073	80.28532239234234	74.4099472914787	82.40806205057211	203.27344783601535	203.95176806253235	204.58205175980848	205.14734485869988	206.7460648813014	208.96484105812905	213.63087965749105	219.16732243294638	238.40399348962225	247.73259150101103
8	yaw	小	xyaw	0.10000000000000009	0.2000000000000004	269.80129531636413	225.4094970585601	282.64246881945894	0	1	81.89208852582382	75.79506304506756	83.6077449879048	225.4094970585601	257.95206078244956	275.4465355072892	272.5818309981228	271.05312809214684	270.3260261480849	271.56062353517865	273.29042887156	278.1047406724207	281.7313921155703
9	iN	映	yiN	0.2899999999999996	0.3299999999999996	379.57684187588495	278.4711126614213	443.13529788523635	0	0.7204652667584612	77.6987129961372	73.18700590454847	87.98145304083707	278.4711126614213	307.1813644309341	328.34176560481166	376.8594759451465	414.9155809512883	427.6520349611602	439.11520604203764	436.1696916846851	378.6985855630231	299.6693365870374
10	ow	都	dow	0.08999999999999986	0.14000000000000012	222.12241421750838	202.61563098678343	261.96024677539634	0.8379231826419001	0	82.27560779083935	77.84071381507367	85.21023324035787	261.96024677539634	247.0071016728794	234.02441605758924	226.95310890398395	220.38528152470604	215.327893468413	210.43508204962768	206.0360005433676	204.41654335996495	211.13595914513334
11	@y	卖	m@y	0.1299999999999999	0.2200000000000002	307.875918831028	195.3931570316333	344.8684762497295	0	0.5522415834231559	80.68249945125102	77.3262326199107	84.14667130743274	195.3931570316333	273.43983384144155	305.1432702670405	323.4606561372646	340.1030387750963	343.02976820823125	337.3003714582248	320.3200576470462	284.5384833323243	277.00724631803547
12	a	哒	da	0.050000000000000266	0.08000000000000007	217.60461965771376	202.04132412984785	241.00432686255726	1	0	79.39702849311819	76.7057899695721	81.11027185494274	241.00432686255726	234.68846647905633	228.37260609555602	222.05674571205572	217.76540874000895	213.831340605277	209.89727247054546	206.4016772317579	204.22150068080288	202.04132412984785
13	a	杂	za	0.050000000000000266	0.1299999999999999	231.7667023572571	226.4427651253766	233.08431541142951	0	0.56850324440927	80.25668231483219	78.74630692502075	81.30744238273729	226.4427651253766	230.11487017167505	231.70360569888513	232.17052686966284	232.63744804044055	233.06163106588403	232.67378932997806	232.28594759407213	231.89810585816613	231.47911602384676
14	ow	柚	yow	0.14000000000000012	0.27	327.1007290799109	247.70306907437984	369.7250932144848	1	0.3465089791883532	77.89901758469216	73.9748495101775	81.31396000737983	333.73308033549273	349.9260893665875	361.9693669044574	369.30993553712995	364.0319196975655	337.84407220981393	308.5749436706934	290.9276916997253	267.9034719925818	247.70306907437984
15	I	子	zI	0.10000000000000009	0.1299999999999999	224.28449527084723	216.4288110990873	236.50714477142878	0.3457046764362556	1	77.52666090460968	73.63197206018411	78.85717976218466	218.75338233505013	219.72778125449372	219.4036853864196	217.32280245288038	218.9207478487077	222.72599024215484	227.22250491119485	231.80816770213778	234.15190024011304	236.50714477142878
16	i	你	ni	0.1200000000000001	0.18999999999999995	313.4022277339149	271.1990153376451	334.00732419381217	0	0.28404367392900914	81.52074959348454	79.4264401051298	84.6087873438724	271.1990153376451	297.561666208639	328.96541529365527	324.8664966811194	322.3073150981619	324.77088121302353	321.8047591959984	315.54300924934614	305.5094252330487	287.0510830852391
17	o	哦	o	0.18000000000000016	0.18000000000000016	215.60138010391665	190.47372292952488	287.0510830852391	0.4016877986748678	0	80.52045726969791	77.78834051113252	84.0368993027422	287.0510830852391	252.37735062433754	217.70976580050183	196.47685989415814	194.22012311826703	196.9877144367755	204.0825854375148	211.00605671375263	216.83305949211507	222.16271051962477
18	@y	该	g@y	0.08999999999999986	0.13999999999999968	264.75167934938725	253.94768574711216	271.1176202104179	1	0.5617676077695252	83.079692813752	81.71459882357061	84.2925872563809	255.63324231677024	260.59170810125994	264.8944550507827	267.2300454954046	269.17330204818285	269.93955692542994	269.453386726913	265.2099413011049	260.4114229348213	253.94768574711216
