interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	yaw	小	xyaw	0.08999999999999997	0.17999999999999994	239.70175439966377	227.58036013776996	269.00560464648083	0.8131530290079011	0.0159330416680333	83.63633530875767	74.9469280764785	86.61970996587748	264.6577407260546	263.69017637945296	249.10806436040974	237.81474331424215	236.3877951867014	234.39779537667576	230.71864051919553	228.2124033482952	229.22491923713477	230.8281699752563
2	&N	梦	m&N	0.17000000000000004	0.24	294.52627383034263	266.11522379942124	323.65024897888634	0	0.6359139168594089	83.80301942226944	77.08198738992233	87.21613183564547	266.11522379942124	275.87823493944603	285.6149435125838	292.47919031983275	302.5139547088373	315.9810515207462	320.6086574975211	304.782626934165	278.15321039091725	278.408370720766
3	wey	最	zwey	0.21000000000000008	0.29000000000000004	399.2906359102748	322.8883029598686	440.9385836634168	0	0.7267205293821477	76.2820173923041	72.01519830526159	81.20042800899726	322.8883029598686	344.94099537643405	358.5387328542271	379.8163304202702	410.49061552004014	434.37029596883997	438.2477099897747	438.31663569739516	424.11712306785546	400.750259801368
4	y	爱	@y	0.030000000000000027	0.1499999999999999	300.0537825606094	287.92068069958503	315.0119899521334	1	0	80.66314411324798	80.07494389300382	81.62083055735476	315.0119899521334	310.0400133750958	305.06803679805864	302.3227270680026	300.31963962027413	298.31655217254576	296.3134647248172	294.3103772770887	292.30728982936034	287.92068069958503
5	i	惜	xi	0.04999999999999982	0.19999999999999996	219.6444772011343	208.5163259391697	235.6120892661524	0.8006529223869914	0	75.77535214772992	73.4622932707208	78.18883544365913	235.6120892661524	231.75843156503703	227.561350332967	223.1793487380756	218.79734714318394	214.57963883112424	213.483502892868	212.3873669546117	211.29123101635545	214.09031887937746
6	y@	家	jy@	0.1100000000000001	0.16000000000000014	191.71629475284288	168.9083316791676	231.54878192660811	0.8865585495894367	0.0618766485703177	78.6594472481473	75.0081685209427	80.02571241380585	224.1720634134576	226.20489186848425	212.4392128293918	200.46971546391217	189.45873653613765	181.25412907106957	175.03242342674932	170.98246739562967	170.33188161448354	171.74813290892124
7	w>	伙	hw>	0.08000000000000007	0.15999999999999992	184.7398110901899	172.6782383559112	191.88650129606032	0.9195582338013589	0.32455769726262546	74.71248148003558	72.17674194446244	76.39701625122079	187.82080201192187	189.67981416496198	191.4759014995585	191.32131946240483	191.16673742525114	186.54924721785895	180.68214272279985	176.76592024628337	174.57106425671645	174.41194771163794
8	a	哒	da	0.08000000000000007	0.13000000000000012	142.00929862647087	118.82447604345957	169.06606411909104	1	0	70.62867451536881	64.3367764338495	75.54285422975947	169.06606411909104	162.122547214244	155.36290372703132	148.60326023981867	143.4975491604398	138.56293453704362	133.6283199136476	128.69370529025176	123.75909066685558	118.82447604345957
9	yEn	连	lyEn	0.0900000000000003	0.19000000000000017	175.46341404420522	171.35661541872358	180.58561095381674	1	0.7066208665211966	77.77388289328756	75.34558109140535	78.78464724005882	173.7538186769892	173.54517110704555	173.51193341578414	173.86857888840296	175.39487385266256	177.01559239888402	178.9195816909908	179.261868717898	174.9190489492068	172.07188008688442
10	yaw	小	xyaw	0.0900000000000003	0.18000000000000016	233.74503524774713	228.72903086727942	238.1873371611463	0	0.29206048766661613	80.23151643694077	73.2962013466269	82.23405852172138	228.72903086727942	235.43466289675075	237.00010958884945	237.6746242394371	235.67634276549217	233.7304425075242	231.9416858974875	230.65421362768603	230.87059437859008	231.4520969723854
11	&N	梦	m&N	0.16999999999999993	0.2599999999999998	375.89224375236836	291.3801758066447	458.41556093553686	0	0.6527295805492537	75.30798611672506	69.85722834633066	83.901556680658	291.3801758066447	306.1808612037066	331.633785459679	366.4299777011768	393.27207291704883	425.10251537595224	450.3289800160693	421.71530320772865	374.1463079920316	321.20751134246683
12	ow	都	dow	0.08000000000000007	0.10999999999999988	223.2016089723156	190.69589192672947	272.2477756494554	1	0	82.06571997675174	80.29315890148442	83.86001360079388	267.13598385862605	265.685133602585	248.01183694129682	230.33854028000866	221.04148640478226	212.61094040397643	206.0451454821278	200.45612493497066	195.27669339045678	190.69589192672947
13	@n	烂	l@n	0.16000000000000014	0.26000000000000023	147.4537232379032	137.33258837820202	162.74078563420116	0.7126859192814105	0	75.84246211567684	70.16044946951871	79.07520388966455	162.74078563420116	158.02636079475818	156.22012561732157	154.91750312808279	150.9077442842732	140.4780940182422	137.66815653719868	138.0987062188969	139.04782725607575	142.00416381691105
14	a	哒	da	0.03000000000000025	0.06000000000000005	162.46321666126354	153.15340212806706	172.48846789151776	0	1	69.06139030370116	68.70907197245491	69.34914943774672	153.15340212806706	155.1654691118682	157.17753609566896	159.18960307947006	161.20167006327085	163.21373704707162	165.47109661272086	167.81022037231995	170.14934413191864	172.48846789151776
15	a	杂	za	0.06999999999999984	0.09999999999999964	194.18465987791024	173.66964313430722	202.67653303831278	1	0.32076326913758607	75.89496419655667	73.19826556372504	77.24636382070706	197.29662795619362	199.58061955344814	201.86461115070267	201.85749785648122	201.08668293176774	199.25282076061404	192.5289412558363	185.80506175105856	179.5769552835624	173.66964313430722
16	wey	柜	gwey	0.16999999999999993	0.25	147.75004125396293	123.88458641545135	208.0525578934605	0.75	0.02792303291342196	71.05632090633635	65.76441170568323	76.01529239783235	200.64404089299154	189.06245598223498	161.42004028113377	144.1260982490819	136.95178269884357	130.92265614741294	124.78013264421583	123.88458641545135	--undefined--	130.50419652958917
17	I	子	zI	0.040000000000000036	0.15000000000000036	164.72741859216572	153.74981499657713	181.00109512259206	1	0	71.16176611333567	68.85842861593945	72.86768322061842	181.00109512259206	173.54643914183336	167.98018964478987	166.56843441192103	165.1566791790522	163.74492394618335	162.33316871331454	159.66529916409684	156.70755708033698	153.74981499657713
18	i	你	ni	0.20000000000000018	0.31000000000000005	255.09408637209003	224.72051406143805	271.38897154754045	0	1	79.57391505963702	75.49860507449544	83.2075343263987	224.72051406143805	239.76113192669573	249.55862185779034	258.0284619822564	258.65325527384135	256.6781365080926	257.0708514083076	260.62008222043704	266.1224902130563	271.38897154754045
19	E	也	yE	0.04999999999999982	0.07999999999999963	287.8562336584749	280.53058188809393	294.39182992174	0	1	80.4835924712341	78.13537574653745	83.15463406864728	280.53058188809393	281.9820642686574	283.707404763546	285.5802073199943	287.4530098764426	289.29400957205286	290.53075491174	291.76750025142707	293.00424559111417	294.39182992174
20	aw	要	yaw	0.06000000000000005	0.10000000000000009	244.9054614793681	195.08253399695147	263.13443857851473	0.9714686283040388	0	75.52210622993137	70.1792991672056	80.92573183329554	263.13443857851473	262.69102406636426	262.24760955421385	260.67961293664354	257.23731281003995	253.79501268343668	244.58360696691295	225.75702526718854	206.93044356746574	201.19227698309828
