interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	I	是	sI	0.10999999999999999	0.23	184.13897129222062	166.35617184155888	192.29473138899263	0	0.535445722902112	69.8416287693535	59.277506235383534	73.53496840415302	166.35617184155888	166.35617184155888	175.0052823572841	190.2277168649606	191.8491326519226	192.15072898355302	191.6782244020502	190.8975272288052	189.63925801318652	174.70001930907225
2	yaw	小	xyaw	0.15999999999999992	0.29999999999999993	249.68767113004486	235.47047956704165	296.63323599448967	1	0.03205172372182723	82.21321899700406	74.97029740443152	83.80844614571562	286.3038838518099	274.2679347569684	250.67041082531475	245.31416714004737	243.61851359938427	247.1334419021168	241.40190679578728	240.889952197016	239.6661286162594	235.47047956704165
3	iN	英	yiN	0.33999999999999997	0.39	239.42125141002498	213.81132760573843	274.4294425267255	0.21583212350970227	0.9074502805960754	79.48178397788507	74.69718093739044	84.45433535308149	227.06678039401456	218.7828925214541	214.1209312331582	218.58841510025377	223.88496209040267	236.78976633266333	250.5908072504854	268.2493287269073	273.7930401108659	269.3698227812577
4	@y	开	k@y	0.1299999999999999	0.25	182.22218929238204	131.59528443869576	202.80547034979273	0	0.18930124677559654	78.41591003110207	69.18087677178751	83.21284993755039	131.59528443869576	185.79731935869654	190.04223815708403	184.8491141016874	185.50333764317435	185.85796731820332	185.49490193043653	183.69007409811385	178.79961404058866	179.89768317723454
5	a	哒	da	0.040000000000000036	0.09000000000000008	211.25395896066863	208.95265377657762	212.82225782729705	0	1	78.87455326528264	77.25528105303434	79.85435620449259	208.95265377657762	209.571387442639	210.1901211087004	210.80885477476178	211.4063586829866	211.6854162236629	211.96447376433926	212.24353130501558	212.5225888456919	212.82225782729705
6	a	杂	za	0.029999999999999805	0.05999999999999983	214.5201506625258	211.09717951914544	218.72699377440873	0.0955182541126556	0.9103158770876515	80.12845290431976	79.79197487913484	80.5276250181351	212.37899354852553	211.92930463340915	211.47961571829282	212.2870834254294	213.51360333998355	214.7401232545378	215.96664316909195	217.19316308364623	218.4196829982004	217.77069007884072
7	E	椰	yE	0.06000000000000005	0.15000000000000013	196.62841236056133	191.0091300699999	200.7148759015768	0.7219540659084324	1	78.66569475409429	73.73959776002468	80.91648288316983	199.62042722865667	198.83525416182763	198.38664214831056	197.98611028526665	197.5855784222227	195.76509758489559	193.74176689409947	191.71843620330338	195.78188601644462	200.7148759015768
8	I	子	zI	0.039999999999999813	0.10999999999999988	205.6503569973384	189.4898446011949	244.12055511926312	1	0	73.89558394220055	71.27782300005973	75.98828673019696	244.12055511926312	232.48989678123513	220.85923844320791	209.22858010518067	198.20439526366593	196.2773128698521	194.3502304760384	192.4231480822247	190.4960656884109	190.21826511073652
9	yE	咧	lyE	0.3400000000000003	0.40000000000000036	193.86382609241335	146.79739674132148	221.90556105861756	0.9527549896119766	0.15806111850744836	77.53317738268953	58.229780245534705	82.22980820416177	210.7921992765032	220.61446102326852	219.37097444326741	211.4485109714773	204.55168919052298	192.06967478442695	174.02248345301368	180.96886227472183	152.06872893467914	148.75384227585698
10	u	不	bu	0.20999999999999996	0.23999999999999977	160.13030805210673	127.21782796423776	245.14435283806102	0.35806077448308854	1	68.26803454037208	63.47392987726918	76.77115492485332	157.30893859322535	144.72368941334668	137.54956559116258	128.15530852169053	131.51129182234004	143.01628320655576	162.12654909595653	181.81576241681077	212.06725632736368	245.14435283806102
11	I	是	sI	0.040000000000000036	0.1200000000000001	165.54890999958977	155.058901465929	188.92907365153522	1	0	66.44961859615341	62.06220366117883	68.7622117767746	188.92907365153522	181.97007582874681	175.01107800595796	168.05208018316955	161.4405663748868	160.04131278419243	158.64205919349794	157.24280560280357	155.84355201210911	155.058901465929
12	yaw	小	xyaw	0.10000000000000009	0.20000000000000018	219.57405381265676	206.39031440197365	269.7117124553049	1	0	78.97461315794035	73.61015655565411	83.19849738066188	269.7117124553049	242.11427026930173	223.50929349942896	217.07059346902668	213.27726020895363	211.07114701107784	211.12342053842366	211.61271388476314	210.462762717758	206.39031440197365
13	aN	刚	gaN	0.41000000000000014	0.48999999999999977	208.70618981994042	182.03620706540534	278.5468534040348	0.2513960953570308	0.8942750044337422	75.67325163904773	56.64148074047358	83.15192145798204	199.13998077100288	188.42506532906205	182.70505269632525	186.1987674190932	200.21670931981993	213.55867013538082	215.24429560004037	203.27202250865955	268.7455443394887	266.47602478662793
