interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	yaw	小	xyaw	0.15000000000000002	0.31999999999999995	245.99705419640307	239.5140979605589	272.219635508023	0.5181066134615071	0	82.7419874977078	74.90832026746405	85.40538039959714	272.219635508023	254.5265388580349	246.62778455994354	242.50575412827874	240.39489364864323	239.96840771163346	241.55264904511574	244.7617717379364	246.44902765879567	243.50871853525837
2	iN	莹	yiN	0.3400000000000001	0.41000000000000003	147.77027399463302	121.5808710436632	199.65054009371426	0.6966985818630075	0	71.97637795874795	66.33961038393637	75.93394036999848	199.65054009371426	153.51170420886953	154.35463222979615	141.74786715068495	144.65080055344816	136.5992553009671	125.9831776889272	136.12352381611814	158.7717191140227	175.96227216155222
3	ia	提	dia	0.06000000000000005	0.09000000000000008	197.37713811411888	190.56252024566146	201.60062920497822	1	0.5904579139379172	78.12259660586025	76.40871617027652	79.40484866157765	191.02347714376228	193.4315829194161	195.8425295517208	198.2538820206898	200.6652344896588	200.72273240898585	200.44396539264977	200.1651983763137	195.6653641142535	190.56252024566146
4	a	哒	da	0.1200000000000001	0.17999999999999994	191.61918820830965	186.3694905410164	208.04547323562937	0.5075673690288214	0	79.18678687385861	76.73016491224733	81.48588507344844	208.04547323562937	195.70853406949658	190.91237203165448	188.87668111859583	187.5109707082557	186.7700519907151	190.1053898438568	192.85270630082292	194.49460182807613	189.7545363517164
5	a	杂	za	0.040000000000000036	0.1399999999999999	202.2349466548293	192.89109771990002	211.08344030776323	1	0	80.34876272012637	78.3785299423962	82.39613530325877	209.60622525685062	209.63689658571943	208.8377509320138	206.21300791664436	203.58826490127473	200.96352188590527	198.33877887053566	196.41503858052505	194.65306815021253	192.89109771990002
6	@n	篮	l@n	0.13000000000000012	0.18000000000000016	174.09460156293534	161.38359998754558	187.62856484555712	0.21524041146095174	0.8315272476309956	79.09222780464061	76.20904090125234	82.61308803597318	173.4843253210114	164.38970912427527	162.35785749537823	164.5195666074837	170.09370068175923	176.64429273586	182.04163073713187	185.6700260186968	185.98357741420955	177.23034763965583
7	I	子	zI	0.040000000000000036	0.06999999999999984	184.13953520702577	167.3835516378729	195.11081659114816	0.9869762542592355	0.3126555065106004	74.14198367585348	72.62439497337263	76.23213102228104	186.29594675096573	188.25571947305136	190.215492195137	192.17526491722248	193.6457032162959	187.77612517018486	181.90654712407346	176.0369690779624	170.167391031851	169.81016597530157
8	ey	嘞	ley	0.13000000000000012	0.17000000000000015	199.11329915721694	165.58716133159447	208.53168368232744	1	0.3004857826338343	80.57337887208912	71.99468928237084	84.12425304496759	203.51777736133022	205.07641039942	207.17660226816957	207.85360498312218	206.17808480069004	202.6084424524199	197.96297495930207	192.49567052221414	186.4210986852251	165.58716133159447
9	yE	爹	dyE	0.10999999999999988	0.14000000000000012	178.20005165125042	164.4470406533248	189.48898213188062	1	0.13121800161002298	78.77290447979833	71.48091250892202	82.48267885226839	185.5536543287289	188.19964577126044	186.50929880406986	181.52333464549096	178.5091122854908	175.9986713412284	174.34551781185314	172.4793023290019	170.41222856984314	164.4470406533248
10	yE	爹	dyE	0.31000000000000005	0.33999999999999986	160.2866572319914	138.90517944657265	179.00222476530124	0.7575551866907421	0.06641710193243629	73.93381747772492	53.03335774050833	82.28349223730746	174.19719943880148	176.49794405107195	171.58862550127665	166.95545820486677	159.16561696755343	151.15743594157902	141.6352827577717	139.1967310614868	165.6185359468902	172.9971167753751
