interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	yaw	小	xyaw	0.10999999999999999	0.18999999999999997	233.5921538967645	222.53411138715174	245.1457613559856	0.3981530247889882	0	78.75948982509252	67.24178205375134	81.40510913383572	245.1457613559856	245.1457613559856	237.74466467116358	224.71873450587677	226.5887031530704	229.67799433963893	233.0758040214885	233.4985351634268	232.37109127772413	230.7559714876956
2	iN	莹	yiN	0.15999999999999998	0.2	184.8458163915412	168.88771136186293	211.87101178161433	0.3508912626686501	1	77.81901706091621	76.48239303232693	78.92921311320498	196.98257111820928	184.90589794726336	176.12386698109285	170.14739995326158	171.8567778613623	177.83622018311976	186.1591719031752	192.74923840223107	202.13177372684817	211.87101178161433
3	wey	对	dwey	0.12	0.1499999999999999	280.11913726990485	262.81657560704343	293.30293213517217	0	0.525812087494305	78.22630016358933	69.01334875145668	81.65020209146847	262.81657560704343	267.8393342855222	272.901238499247	278.96552231647246	289.2963462400491	290.51998761764486	287.66050392616603	285.0458681319947	279.4404005606679	275.6302205355105
4	i	集	ji	0.05999999999999994	0.12	177.67495171252293	101.87813303018733	216.71628108604534	0.9136956416609322	0	74.02967185981333	65.92628062864688	78.36151678112495	216.71628108604534	210.81631177660853	204.91634246717183	199.0234802176289	193.14246306790923	187.26144591818945	173.61652256347045	147.03175553375115	120.44698850403239	121.09424467921964
5	i	体	ti	0.07000000000000006	0.10000000000000009	219.55348661296276	211.01344443927118	224.0571019748557	0.21486360291597892	0	78.32261084379695	76.64908110254541	79.79994777679707	224.0571019748557	213.3870300678279	214.94671699097145	216.506403914115	218.46755958940074	220.8919484402352	223.31633729106971	223.04087429067167	222.44142906812576	223.17868428827498
6	w>	活	hw>	0.09000000000000008	0.16000000000000003	207.56175674472811	196.29717408547376	214.72325181478007	0.9365057883280302	0	76.21469817355998	73.39240742224437	78.47214053930539	214.72325181478007	211.06084453090904	208.91608954310055	207.35325780806164	207.5361958313314	207.9778092282471	209.19544874610048	208.44555475453677	201.79306023472188	200.0425434475694
7	oN	动	doN	0.26	0.32999999999999985	275.71207449690684	255.7042350869662	298.46996459616804	0	0.9409552669976766	78.04003576376773	63.72863784858302	81.53165858104605	255.7042350869662	270.14316895875817	273.9926485924191	273.43736464813344	273.8850878773221	273.75674551711955	271.7526974652005	278.5047788578755	290.58843953957165	287.76068418888093
8	oN	从	coN	0.10999999999999988	0.20000000000000018	140.69001484328726	121.81405744287522	174.44031928932986	0.647209566902995	0	76.65937205527437	73.58951310494632	80.98095699508984	174.44031928932986	166.78332210462366	152.87181911044883	134.20689170107673	129.52580144316627	126.21825419085498	123.74612214498123	130.09790917185776	140.9840257560794	150.5901822053553
9	@y	来	l@y	0.08000000000000007	0.18999999999999995	191.05039498668688	184.64534512447176	193.93124183118874	1	0	77.83115537473901	76.49172069225806	79.01650550594275	193.93124183118874	193.77200236263542	193.61440377864776	193.50767261619617	193.4009414537446	191.40926631668154	188.8898068667273	187.55227891571207	187.25763169905474	184.64534512447176
10	ow	都	dow	0.06999999999999984	0.1299999999999999	187.93064641810804	183.518961191667	195.00424631746063	0.5767322393613039	0	77.50700951612914	69.73643919760019	82.27939550554252	195.00424631746063	192.972577205521	190.94090809358133	188.4481809013893	185.80176768244664	183.88966316090867	185.3553786474316	186.8210941339547	186.74716066695882	185.67698375945102
11	u	不	bu	0.06000000000000005	0.10000000000000009	198.81779082508163	193.23625444614623	202.01291511990692	0	0.573417514967422	75.78007343990774	71.1249730067502	77.42419828016264	193.23625444614623	194.18922584190094	196.40749942892094	198.8065304718362	201.20556151475142	201.1211310464167	200.6819203621892	200.2427096779617	200.06514779507702	199.9249643123842
12	aN	上	saN	0.10999999999999988	0.16000000000000014	164.7621376552849	148.55644095339053	195.81242505543503	0.5197640762072273	0	79.74203820936857	78.45031453504131	80.78221026284913	195.81242505543503	178.58082926861994	165.4650273958187	155.47722889766652	151.24399753972511	149.76037451987173	153.82942964949206	163.33106513054105	175.663358796375	188.88587417795418
13	in	心	xin	0.3200000000000003	0.41000000000000014	173.35126623246163	156.24948558336357	181.867008721791	0.7537265044924323	0.32191748641353907	72.80881165933565	54.92495488770214	77.72491468140252	168.06344758888247	174.77595554363072	177.74902373975777	181.3137944494282	176.74506988765975	178.91208663780165	175.4340428276136	161.45598475451732	172.07071499409636	169.73641299608082
14	yEn	连	lyEn	0.10999999999999988	0.13999999999999968	192.03313048706886	176.09366885485866	199.40146273793542	0	1	80.26681127694427	78.67221669256088	82.07899141846548	176.09366885485866	184.20962500081453	188.9976214585174	191.25636855314897	193.47630505638537	195.4068102561095	196.65390494595692	195.686889249252	193.75106768454307	199.40146273793542
15	yaw	小	xyaw	0.1200000000000001	0.17000000000000037	225.78398095391194	206.9014131141647	287.40724327459105	1	0	82.63905443130885	77.5270232075739	85.16786654659761	287.40724327459105	247.8095777942658	227.62926081315592	218.5510511257809	219.3356805461339	220.88206288281486	221.81260113003108	218.57405924528638	213.46023018124183	206.9014131141647
16	iN	莹	yiN	0.16000000000000014	0.18999999999999995	163.84996958638075	144.87817457967782	187.30851435724892	0.41969218583528217	1	79.71241115475172	77.81732853526927	82.14814131048303	183.6044198577772	169.52116941558057	157.94782956963053	149.22610795462498	146.06809619197878	152.1599894536333	161.12355260372973	170.9982320306952	183.3340255497411	187.30851435724892
17	ow	都	dow	0.05999999999999961	0.09999999999999964	200.79385864697565	190.3343021818704	204.7534589770786	1	0.18135639255529235	80.51530615350678	79.02923023162332	81.59034603495762	202.6041856540017	204.41168912327157	203.85536297909448	202.96134689013954	202.06733080118465	201.3025924199289	200.5563222826302	199.8100521453316	195.33828415322992	190.3343021818704
18	ia	提	dia	0.11000000000000032	0.16000000000000014	202.6817721552341	193.66085944501796	213.9506337066161	1	0.1660971444195197	81.03445858713357	71.0056148487608	83.44274050259756	204.94266225346152	211.2240470119238	210.878242656361	205.49577457413932	202.946342279095	200.7664077606619	198.97326375979964	197.39372652359094	195.90701409782136	193.66085944501796
