interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	yaw	小	xyaw	0.12	0.22000000000000003	209.21301739877734	203.4304045075753	215.308629997085	0.8846588836679599	0.11591389924523812	76.82918593961286	68.09871186457431	79.388064177619	212.2281665728596	214.44765453274394	211.9059037077736	208.4222766495041	210.2353835201367	210.42138209202741	209.22857982022964	205.26588417784933	204.22332746233013	205.50663255860866
2	iN	映	yiN	0.13	0.15999999999999998	232.77554835240045	213.24442169456273	264.11243626657506	0.14717071060140152	1	75.03441391497942	71.73873223853494	79.39058921006793	213.98842756912043	214.42236275601178	214.51024233211157	220.05936887051794	230.4876631931579	238.92431058485403	239.1880710730603	244.97377912711158	253.51890490950564	264.11243626657506
3	@y	卖	m@y	0.09999999999999998	0.26999999999999996	197.23850422121893	146.05274236185483	269.7968955761973	0.8875836972798115	0	78.65940988863244	73.76544221506768	82.72670916969652	269.7968955761973	253.21274150357152	235.6540798682884	218.392011081167	201.3982882042874	184.40456532740745	167.41084245052792	155.85175250727337	147.20223699437398	155.83522109920082
4	a	哒	da	0.030000000000000027	0.06000000000000005	170.99179385753712	167.26007046250584	174.72351725256843	0	1	67.00386284883963	66.29765191349	69.34641048353862	167.26007046250584	168.08934232806834	168.91861419363087	169.74788605919338	170.57715792475588	171.4064297903184	172.2357016558809	173.0649735214434	173.89424538700592	174.72351725256843
5	a	杂	za	0.030000000000000027	0.08999999999999997	175.01872515424037	171.45111214095823	180.19268162848078	0	1	74.96911371906086	74.9615962418863	75.05703584334209	171.45111214095823	171.63408160666398	171.8170510723697	172.81623117316408	174.08748148565462	175.3587317981452	176.62998211063578	177.90123242312632	179.17248273561694	180.19268162848078
6	ow	柚	yow	0.08000000000000007	0.17000000000000004	235.08641029299918	218.1809680813384	241.59671421620376	1	0.39352674673795407	77.13440136142917	72.3928542192407	79.153019420456	236.04780590964276	236.10153116541935	238.64849302813937	241.19545489085934	240.4407987878458	239.34459599872184	235.84311797358563	231.08173387244318	225.3444838011972	218.1809680813384
7	I	子	zI	0.030000000000000027	0.08999999999999986	167.71030451649526	147.31129749196882	182.47534699317072	1	0.04607590731999785	71.21737509349379	67.78526235561368	72.74867844133834	177.96380379092975	179.18444181491546	180.40507983890106	176.90952442174134	171.84190452419932	166.7742846266577	161.70666472911566	156.6390448315736	151.571424934032	150.602584592405
8	ey	嘞	ley	0.54	0.5900000000000001	170.50820174469098	129.33174860713964	190.98984570070675	0.8422789824109953	0.4500559417761293	75.05018389540356	58.30403001827399	79.16198329712351	175.91149489180714	181.44027579378655	185.72603570506172	186.17079194086753	189.78871155511058	176.92466924817106	167.92277180484393	154.5887867451689	136.39563071795496	146.35274716920102
9	yE	爹	dyE	0.08999999999999986	0.1299999999999999	152.0777769737505	149.62814595655308	154.41098469065105	0.8283413072404828	0.14752174992798645	69.81190260303522	59.14272247568227	72.39120610456912	152.9908248033651	154.12441283089592	153.68020671539625	153.24210808354604	152.82233190264415	152.17203252511763	150.83016355771713	149.88178798889828	150.1138926158247	150.59260032178915
10	yE	爹	dyE	0.16000000000000014	0.2100000000000002	151.26135074229686	142.54653235036798	162.53119595162752	0.6172140111038082	0.8593749999999976	70.57172166237154	65.2749689096396	73.09940487395447	149.99198356575792	148.51090530120794	148.75225390766622	148.79216915804858	152.05306528305894	145.22203580503998	144.25336688005612	158.00694029053358	160.4952809041353	160.4952809041353
