interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	y	哎	@y	0.06999999999999995	0.16999999999999993	173.61029395941495	172.28119445438674	174.93939346444313	0	1	62.0669254672437	61.4025173416211	63.22057044322539	172.28119445438674	172.57654989994856	172.87190534551038	173.1672607910722	173.46261623663403	173.75797168219586	174.05332712775768	174.3486825733195	174.64403801888133	174.93939346444313
2	I	是	sI	0.06000000000000005	0.15000000000000013	188.55618460030854	176.49567456146332	201.00946557979066	0.33223970217986665	0	67.37137281605946	61.45223930602379	71.21664197543984	201.00946557979066	191.79633482761753	182.583204075444	178.9271231158928	184.53279181071125	190.13846050552993	193.08216944635723	191.5892787971993	190.09638814804137	190.51360295871453
3	yaw	小	xyaw	0.1100000000000001	0.21999999999999997	217.6780802254452	211.5916392915483	226.030577208571	0.3683982910339886	1	78.40329626457554	73.18563087568721	80.25704500788684	215.3853901961252	215.90363182679812	213.79971291714992	212.7239768827508	212.54190490579956	216.65713710129367	220.15817613388748	222.98652741663773	223.84702842386056	226.030577208571
4	iN	映	yiN	0.29000000000000004	0.33000000000000007	326.3666992567566	239.34396908612382	388.34381636651307	0	0.7629606994598431	76.78757356331522	73.49669900329064	81.17401682116794	239.34396908612382	253.20593465074515	279.62497860510734	285.6889601932633	313.6027311389534	361.4027136369492	382.39610618755205	387.680818031802	380.19525508603186	340.1724529464578
5	@y	卖	m@y	0.1299999999999999	0.16000000000000014	231.42042169642662	180.95316491046574	296.21889649140354	1	0	78.05009180686557	69.85128356128689	85.07274177555577	296.21889649140354	280.2728186091103	264.8051693371099	250.02270339897737	236.05190097114442	221.55501199013509	207.59179364891142	195.6942307565172	189.07183946916365	180.95316491046574
6	a	哒	da	0.03000000000000025	0.06000000000000005	163.197907224722	160.19822902108592	168.61336577951369	0.35530474570071746	1	63.88334577846023	62.87626924717144	64.9250554211601	163.02895655974828	162.65011163689968	162.27126671405114	161.89242179120254	161.51357686835397	161.13473194550542	162.5546897277375	164.57424841166295	166.5938070955884	168.61336577951369
7	a	杂	za	0.040000000000000036	0.08000000000000007	206.39882439060298	198.23923913832243	210.2971380024394	0	1	77.50721716877152	76.76914534587767	77.91166809889991	198.23923913832243	200.68076780717655	202.90384506329502	204.646329211394	206.38881335949307	208.13129750759205	209.87378165569126	210.22841582005373	210.26277691124656	210.2971380024394
8	ow	柚	yow	0.1299999999999999	0.21999999999999975	239.68493456358902	190.5347924588825	269.19404278756974	1	0.17071066388600228	78.74226628007204	71.2840537985207	85.40386250103231	265.21298470667654	268.36401630251044	268.13306873146644	265.2004124615453	259.43767926391087	244.4298263286924	222.29826348435446	201.90814790356094	199.04696395642185	190.5347924588825
9	I	子	zI	0.13999999999999968	0.16999999999999993	173.36808471428074	153.4274656853432	191.037946581756	1	0.4029032262126183	66.93541051790412	54.601149559065576	75.26071522723441	180.5653083755229	180.00237762323675	179.08157147221164	184.32640573605738	187.37510467771293	175.50799829218798	167.08187223446498	161.77066667730378	157.59906618132348	153.4274656853432
10	u	不	bu	0.1499999999999999	0.20000000000000018	184.51867160193714	141.05382473852296	269.0287362135129	0	0.8611982198694677	69.94595242499277	63.84780951324493	76.71590690157774	142.64874135800454	147.88240137264387	156.21562513860357	160.80275881742017	164.89776867154058	173.5601392384008	189.89395476325407	230.554762551976	254.00927845457437	220.93230041493126
11	I	是	sI	0.06000000000000005	0.10999999999999988	181.0969314205623	159.87766947371844	217.16337210261543	0.9029572725628128	0	66.07440974450459	64.38260700751884	67.09860995684639	217.16337210261543	212.98924738267473	201.54512139061086	189.06242378824274	176.57972618587462	170.87974403968116	166.14872124436906	161.41769844905696	161.65104170867832	162.59358011900437
12	yaw	小	xyaw	0.10999999999999988	0.20000000000000018	204.955671715668	195.28171274223197	217.84488499572186	0.47067951890195436	0	77.8066290056669	71.70013678573315	81.4696391837137	217.84488499572186	214.6120191656176	207.9461510866779	198.6712012986231	196.72135563970886	197.26191097453156	202.46300097920277	206.20566920711408	209.04016877393022	205.26072784504584
13	i	丽	li	0.14000000000000012	0.18000000000000016	266.6650707206285	242.68571385601956	299.2539344233842	0	0.7983928073496184	72.35002516463808	68.70490510547855	76.18304065172661	242.68571385601956	249.69020765178075	249.54584733736556	249.80919894624853	253.37257759936114	266.708933748514	284.09347031408544	298.0281986064855	291.64060663629687	264.90810076013094
14	ey	嘞	ley	0.31999999999999984	0.36999999999999966	191.84589008441606	139.98276787900812	243.4555201986285	0.8236263897156153	0	75.2579961304331	59.13497579802727	82.13240593457819	243.4555201986285	232.47464483476062	227.54198001880016	215.3189145159405	201.64789860094788	190.9332086908487	173.77313090983782	147.23556942057985	144.85553169747098	145.5603137970653
