interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	I	是	sI	0.08999999999999997	0.15999999999999992	183.16122184829314	175.27448346718674	193.24958998570497	0	0.31454051674103545	70.07737098321266	60.9562656730655	75.1174540733066	175.27448346718674	177.51797856800238	186.49195897126498	191.3146423561148	183.68343468572618	178.84020604550412	182.3609144957819	184.7669170328284	183.82880183018062	186.69556104054405
2	yaw	小	xyaw	0.11999999999999988	0.21999999999999997	238.02302697409814	228.98830118247756	245.0051639126436	0.19754200031529667	0.6691834451291611	80.98661219318532	78.04282569692818	83.53898851508825	244.73420851213422	233.4999588599491	231.7979863485108	234.70271126513074	238.7940943048961	242.29924791957848	244.58924914055055	242.7682843109112	237.0137859189045	231.05225690157351
3	o	岳	yo	0.3699999999999999	0.45999999999999996	204.59402377441407	155.73418708197963	257.13942499822383	0.19010105662080437	0.9670313956138719	79.45339208435178	72.79101354262903	84.54898376599094	179.4562622715398	161.37920574851591	157.31277585269285	171.98373671475497	187.93425370204986	212.78676441124188	231.15931857793709	250.96134862573743	256.2491515791588	248.96160564137503
4	y@	喫	qy@	0.1100000000000001	0.19000000000000017	223.7900536550661	206.79365903005402	240.95549434863906	0.5825417176240082	0	78.97608136723152	70.4510519286664	85.93616404988592	240.95549434863906	235.2216132861447	234.79052571678	238.38956120219422	221.6141778643571	209.8581932718474	213.62655531324754	216.48825559803439	218.7382442632982	214.8500413240812
5	a	哒	da	0.039999999999999813	0.07999999999999985	218.47769103555936	202.81510494255778	226.51593585736697	1	0.15853253459999847	76.27121546785133	72.50948093847525	77.56805451186413	223.53625366041967	225.28429484812577	225.7966291021292	223.5904081019871	221.38418710184487	219.17796610170265	216.97174510156057	212.58788625560763	207.70149559908253	202.81510494255778
6	a	杂	za	0.14000000000000012	0.23000000000000043	209.73801258158474	197.25956230223807	225.565186753013	0.8827662033280012	0	77.82844624728986	72.52297815843473	82.73823159907468	225.565186753013	223.04359073125914	221.807634073707	214.93273726800575	207.4136180394319	207.64819852048333	203.5754242039215	199.6711913391024	197.96127991099462	198.96734216876627
7	@	鸭	@	0.04999999999999982	0.04999999999999982	202.60112392474852	198.96734216876627	207.9949676518722	0	1	83.14280926065986	82.44717423012555	83.60534690143446	198.96734216876627	199.45995736072183	199.95257255267742	200.44518774463305	201.55005887939407	202.76297518053252	203.97589148167089	205.23106636800773	206.61301700994	207.9949676518722
8	wo	脖	bwo	0.10999999999999988	0.14000000000000012	215.77723394285968	201.9728865499918	228.19132449943302	0.30159708785578654	0.7764224000682903	75.51941153770939	70.17527281005857	81.0748248801567	212.67783312948336	209.48627546548616	206.13993333899435	202.67595502100647	210.58611396633435	218.6462543714272	225.07943730911666	226.77684171568887	225.8904736456663	219.23213572242076
9	I	子	zI	0.48	0.5099999999999998	242.55227854978963	109.81743746343156	534.308400689372	0.8111211001907648	0.9067782238329668	74.31775309530474	53.56844890166704	78.84342391263088	208.27237437379011	195.82481150705473	194.4379754646082	194.96853832965834	195.72360063789532	195.465342383629	194.75672416253713	185.4175941530889	529.6873783965256	506.3751821242618
10	u	不	bu	0.17999999999999972	0.22999999999999998	208.1898032321934	181.07567640355134	236.09157510118837	0.09368710076598245	0.8581025996547496	74.61643494484025	67.14663107763104	77.26263215969873	186.76625404975422	182.63456205353503	186.8791224800686	195.59108777394925	204.2594447348027	213.48550361325294	219.48080225440384	229.72830963853585	233.47608618785978	232.18928738511283
11	I	是	sI	0.06999999999999984	0.10000000000000009	195.60510115945655	181.64526027367629	227.50201272385962	1	0	70.26390743976343	67.04274208672476	72.92544010558824	227.50201272385962	217.1771841093455	206.85235549483215	199.8096325121839	193.8609447401583	188.48743339366695	185.75973360463257	183.032033815598	181.84137052910822	181.64526027367629
12	yaw	小	xyaw	0.6400000000000001	0.7200000000000002	208.20313980240456	171.38361598558586	249.60759944255005	0.28288106549876274	0	80.56440088673794	58.296020906296604	85.46072090936761	249.60759944255005	222.16188601425378	183.56284077487348	176.62428498715911	190.3156845842568	217.24809582073024	223.1043095119651	217.64429272104786	218.91795604581864	215.01566497156676
13	ow	陆	low	0.05999999999999961	0.08999999999999986	214.41708124927908	214.41708124927908	214.41708124927908	0	0	51.36750367447663	48.173147389153705	52.95652690019483	214.41708124927908	214.41708124927908	214.41708124927908	214.41708124927908	214.41708124927908	214.41708124927908	214.41708124927908	214.41708124927908	214.41708124927908	214.41708124927908
