interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	yaw	小	xyaw	0.09000000000000002	0.2	284.60188497577207	272.38696110691274	326.3915327191015	0.2961141180538121	0	78.59167228820996	72.8022317099575	80.10407914648903	326.3915327191015	298.9586389137837	278.6882793469456	279.9055224955463	281.32063690368625	283.3293650904444	283.71323664269335	279.2225382914148	276.45388820481924	278.8513829122726
2	iN	英	yiN	0.22999999999999993	0.2599999999999999	281.8982407991693	254.89412114646007	305.24787555264487	0.09954028365117759	0.7984540451247756	75.89431471532846	72.96602375833575	78.78176917749981	263.6507273695719	256.48696429196906	260.87960224340964	269.4718121263141	280.7211617680203	290.771072780923	300.47586003707784	304.99895185829024	299.6651801398315	284.76461574126193
3	&	个	g&	0.05999999999999994	0.12	275.65554650324475	258.6193566992856	286.8499516736122	1	0	78.06733268702052	72.81367265859593	82.62379334453912	286.8499516736122	285.04885315755473	281.75008341783854	278.237360646171	274.72463787450357	274.0719093465116	273.8277514247591	273.5835935030065	266.5840057998201	258.6193566992856
4	wa	瓜	gwa	0.2799999999999999	0.36	203.15943287275553	154.39045190657995	319.5502447851671	0.3890641512980961	1	76.5527554591697	73.38726734646765	82.29906772985038	207.56646973408112	204.96260302715572	176.79519898918494	157.15577285765997	156.8681900669566	169.89080335601275	196.57122678843146	231.31819084550668	278.65012545086	319.5502447851671
5	ow	瘦	sow	0.06000000000000005	0.16000000000000014	352.3919546040021	306.64384667263704	367.6948578682903	1	0.2959998878443372	78.26020525110901	71.61301136086311	81.98822345902471	366.5292243971847	364.7544470792447	364.6237195636304	364.7278563054913	364.83199304735217	357.92674459267323	350.0201553956317	342.11356619859026	325.0339244733423	306.64384667263704
6	&	的	d&	0.030000000000000027	0.09999999999999987	250.4537239432318	246.16823062989178	257.5920707112519	1	0	74.41826820233476	74.20067566938698	74.59395269541999	257.5920707112519	255.77935448862203	253.96663826599212	252.1539220433624	250.3412058207325	248.5284895981026	247.69389455993442	247.1853399165869	246.67678527323935	246.16823062989178
7	yEn	连	lyEn	0.24	0.27	226.2844409222116	210.7111525253417	241.16809107160304	0.6394859030741034	0.09626536985246348	62.041248435366015	48.57866930141251	76.84412650802714	227.3643224087728	238.49112884594012	232.88697620936364	227.28282357278712	221.67867093621066	216.07451829963418	212.22851524075247	223.5403465086416	230.22926043175156	235.35421078636332
8	yaw	小	xyaw	0.11999999999999988	0.20999999999999996	306.12461431249704	283.8807155467587	346.3702991486133	1	0.1088714178829517	78.6033982543509	67.52477042878364	81.68093889957211	322.2391772409771	338.8224052275967	328.028805203982	307.3412090341889	295.64618057306365	296.3610816927551	294.0766181622403	293.3446321971696	294.86577721483053	283.8807155467587
9	iN	英	yiN	0.2300000000000002	0.26000000000000023	278.47565771679376	247.7554395988997	322.3607955730078	0.1471421202543403	0.8689176633352685	77.20068603819826	74.28708487626521	79.41953980120145	259.55876801659605	248.5706026465987	249.65947254205525	255.87069591364065	265.6609098568625	280.45113405664614	297.0893506041346	309.2238330041663	319.20510156881204	295.1359761649489
10	ow	都	dow	0.08000000000000007	0.14000000000000012	250.5907152735236	243.7506058119745	268.7605333667798	0.7752540444521165	0	78.41801618255346	68.35735265742257	83.55258805229828	268.7605333667798	258.14357791168624	254.7290552284579	251.31453254522953	249.27671676440252	247.38131893899634	245.98459964664485	244.84909291922685	245.75458879828804	249.64308848681839
