interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	yaw	小	xyaw	0.16999999999999993	0.29999999999999993	224.1894633586021	218.44343328156728	244.42628018256462	0.34584486442099216	0	80.01445221290417	74.13618456272692	81.95663514588149	244.42628018256462	223.16123818480966	220.59389632714505	218.889541888983	220.06401161144427	223.07317164316885	225.66339407271792	227.12577481245847	228.0460454842337	230.46077217476582
2	iN	影	yiN	0.25	0.28	232.13955953527832	220.07665578768857	238.60000641882857	1	0.5580982121074678	77.02015163411994	73.33892312656427	80.5816251195214	230.5295983327631	227.6281263086388	228.27079921901964	229.10398217471808	234.07751647303962	238.3425873382682	236.63249566678388	235.22944612528985	231.86868064522588	220.07665578768857
3	yow	就	jyow	0.08999999999999997	0.12	167.63288758975443	152.84661588166978	187.12066846119447	0.7457064223520169	0	75.86527465841925	71.05034477878202	77.34735750799892	187.12066846119447	185.19192135939704	180.360599800887	174.72884162952997	166.69577361963195	159.69330765800498	155.78264784119096	153.90591327679704	158.13095446966366	161.987265995949
4	ow	有	yow	0.10000000000000009	0.15000000000000002	195.12038268979563	188.971921775777	198.09759357910488	0	0.6630635837987969	76.35945135142836	74.27185336591769	78.85530269948964	188.971921775777	192.39297721743077	193.7835958974529	195.1232531454742	196.41680243120905	197.30408524529082	198.037266983918	197.23021363563427	195.68043400868015	189.8057579127935
5	@n	蛮	m@n	0.11999999999999988	0.1499999999999999	161.1015136206787	157.1112947357109	164.59172763643434	0.9963217358962505	0	76.38494342311361	73.25108723639842	78.6297358879926	164.59172763643434	160.9317066084124	160.51600594836862	161.27323805461333	160.72285081724243	160.62711212914476	161.11363731697716	163.22778609739282	160.8093112703706	157.72336243243257
6	ow	抠	kow	0.1499999999999999	0.26	157.70688272567526	135.3350332459598	188.7309036505821	0.07712139336583328	1	73.91642180853215	71.36840523839265	76.80735328208327	144.9258128390443	140.615627113298	146.69627650842708	148.59414932277275	150.4920221371184	152.38989495146404	161.82388820210502	172.92728433296605	182.0812148270314	187.81397847546444
7	a	啦	la	0.08000000000000007	0.13000000000000012	153.9343806736604	128.86257289797473	179.36494341115073	1	0	73.93089485126228	68.40694153180897	80.03806820234192	179.36494341115073	173.8385904923264	168.84570274516935	163.8528149980123	157.86104438669273	151.76594106528714	145.04848796547947	138.00504212460416	132.38998499298586	128.86257289797473
8	yEn	连	lyEn	0.0900000000000003	0.14000000000000012	220.83924060896624	200.85861564236316	230.3966360775063	0	0.9315434959253879	79.26559901517678	77.53282334834518	80.67435255993918	200.85861564236316	205.3900616114769	212.05511042758087	218.25952396654	223.08203167406478	226.91147163963092	227.7617083793214	228.6365074490949	229.58499350911725	229.785334094012
9	yaw	小	xyaw	0.1499999999999999	0.25	282.74732538031344	255.12127548147853	342.24302201084936	0.4241681799254803	0	81.70680731419081	72.4403849036599	84.91090260701874	342.24302201084936	308.84150371022224	281.3548844041688	263.0790693072679	258.21317032356336	265.44684844304277	277.9846686918346	283.16754916475696	291.89406087132977	294.1978369840376
10	iN	影	yiN	0.4500000000000002	0.5	297.02151190760696	251.42162368019808	314.7858938127374	1	0.7984138224920978	80.6523695026486	73.46106470767309	83.60750716930944	271.04904839857335	274.62362705187394	293.1671402585676	299.9688684228144	293.81406129820243	303.2972947252518	313.9953950022207	314.04991166540066	309.10914197575727	251.42162368019808
