interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	yaw	小	xyaw	0.09999999999999998	0.22	236.6268841941368	227.31104058490214	283.2290908018172	0.4219833371228888	0	79.01802865580864	71.51236785127466	81.5630289487898	283.2290908018172	252.03994791151737	232.5598390727374	228.92136453895458	228.37718168221133	229.68957383169177	231.99278443241005	234.47367688388505	235.68739069099513	235.5898592852432
2	o	岳	yo	0.5399999999999999	0.5999999999999999	211.62199283587833	151.0905498800904	256.03900740189897	0.10788890148993377	0.8694331097461165	77.76033473390136	73.39132266318286	82.05468226074943	191.80612323950575	152.0981080879837	160.13065809731617	176.5184426274855	210.67260594806118	240.27015805515424	248.45077746891863	252.62029859975334	254.48137208928347	215.861695143141
3	ey	胃	wey	0.1299999999999999	0.17999999999999994	160.2711014988337	138.84165398132853	180.8192961329117	0.9857747673810057	0	75.14254307430645	67.82074627241768	81.06044968361186	180.8192961329117	171.3537307092433	164.33598039413658	159.328245168111	155.93893968515462	155.07427142542548	158.05655004799826	163.28411957142623	154.86716832448167	141.80770955227945
4	ow	口	kow	0.1399999999999999	0.24	226.36185012380278	203.55789805282612	237.39776371057042	1	0.4307478020694552	76.04208691741377	71.54615155781487	78.8847883037473	221.16500641600305	225.00352641003775	230.44020314070272	234.85727108160376	236.72259963179505	234.67989290282662	229.92143611727255	220.58407918101622	211.4117187598874	203.55789805282612
5	u	不	bu	0.050000000000000044	0.08000000000000007	205.143013534255	194.58713483160682	213.30697166271204	0	1	69.79783183871125	66.34166724812127	71.00412426895583	194.58713483160682	197.04235686419298	199.63961194462763	202.31334635851934	204.98708077241093	207.59434362493042	208.93864681137754	210.28294999782457	211.6272531842716	213.30697166271204
6	@n	蛮	m@n	0.08999999999999986	0.18999999999999995	197.47253003472255	193.60995846425206	206.73758314180762	0.4377837099194217	0	71.65915003642469	68.33641541714941	74.63630692232749	206.73758314180762	201.99395676215437	197.83749538807334	195.442529030709	194.0538059137525	195.6838125180194	196.89709084468808	196.86018433856182	196.93204437265743	197.33020402741863
7	aw	好	haw	0.16999999999999993	0.24	215.2492971845159	200.7568928538553	229.49925836047228	0.629860880610192	0.29172652389663273	70.4816410168714	56.23516723706007	76.29001602294994	224.2225444750716	227.09565891742287	228.0701039166746	228.84913221347432	222.5141774402487	205.84767485739098	203.28908850057775	203.67460883563862	204.06012917069947	204.44564950576031
8	yEn	连	lyEn	0.0900000000000003	0.15000000000000036	213.61345141678842	199.67943627046648	221.27590700714944	0.8644701826650517	0.48522933972698995	72.18276218963463	68.82943735883204	74.6908265850339	204.27497139784847	211.08797924382876	216.7972168125686	219.1951435495876	220.85162571431704	220.2837741621784	217.33613862572332	207.24915113631977	202.05765853308733	211.55265058836443
9	yaw	小	xyaw	0.13999999999999968	0.17999999999999972	263.4326085875067	224.63349622432227	318.75056256684724	1	0.05845115319976634	77.5825873853697	69.96613314195561	81.36986801490198	298.8924282148489	300.1456913565522	268.69270240553715	251.66886286186775	258.14374476195303	262.6996392360364	261.67070489520245	253.77919813787807	242.4677451230541	224.63349622432227
10	o	岳	yo	0.30000000000000027	0.3400000000000003	212.17635876640375	159.8623122654912	293.66509622481107	0.2510772691004894	0.9123276774705553	75.93969572904696	72.41956992344802	81.9913558567914	193.85071039526227	175.3389677337284	160.2705959319005	163.42756451291436	172.75601954834195	195.6612717905593	235.40918726935058	276.7396114975621	293.07254932303886	270.77246583363655
11	ow	都	dow	0.1900000000000004	0.27	219.43559074707252	205.6084146788777	232.71535274241756	1	0	81.80000132542283	75.76726713573568	86.33827154921866	232.71535274241756	219.38513270157767	217.67219306825643	220.07599027289007	220.96401915753034	221.22928185634697	221.17485113031577	220.319904998285	217.1460393800794	205.6084146788777
12	y@	喫	qy@	0.17000000000000037	0.25	244.1326496950854	222.58722498489823	272.862746332097	0.9115199339577854	0.10807821838399662	75.69856685225076	65.28781001873014	79.11888972239187	254.69095155140667	271.6182819901028	255.20874895759536	240.2004895332446	240.12976705224332	239.33526508997056	241.75803489579397	237.75602782122158	227.09142475916556	236.75118032113988
13	a	哒	da	0.050000000000000266	0.1299999999999999	230.52758566835703	226.54322931289317	234.53456834038144	1	0	75.67906896401837	72.29636885183466	78.22092885242597	234.53456834038144	233.9753705308911	232.99642580172105	231.79146350041594	230.58650119911087	229.4160704276938	228.90173872415082	228.3874070206078	227.87307531706483	226.54322931289317
14	a	杂	za	0.029999999999999805	0.06999999999999984	198.00935132152418	193.2000806928736	204.27872647292105	1	0	73.41098973329886	71.78227846728515	74.1770317786029	204.27872647292105	202.76965068350384	201.26057489408637	199.75149910466942	198.24242331525195	196.73334752583474	195.724879001359	194.88327956519734	194.0416801290354	193.2000806928736
15	@	鸭	@	0.10000000000000009	0.10000000000000009	213.94227214962288	191.2143362197733	237.37121911497638	0.05138710136218356	0.8725458480964169	76.90119879060106	74.44015506610795	80.69151574998565	193.2000806928736	192.78188713597575	197.32159536510233	203.54236300324538	211.2840891543074	217.93602330685755	224.17458808066135	231.18262827834215	236.4409796874151	229.01478028160574
16	wo	脖	bwo	0.06999999999999984	0.10999999999999988	214.9078522380127	199.13559505701878	223.91652383248243	1	0	74.93161249509735	72.43131928245614	76.76936360206747	223.91652383248243	223.209347132729	221.40088267628076	219.5924182198322	217.61068824887212	215.42903653039852	213.24738481192495	208.56235532524826	203.57692050638803	199.13559505701878
17	I	子	zI	0.3700000000000001	0.43000000000000016	202.9479667358988	193.82141549014182	216.8483422001227	0	1	74.01749389541978	67.48481498666091	76.52650707040834	193.82141549014182	201.17654954053586	203.64381212423532	203.9016111859814	204.22640256122966	204.11629159862764	204.25748317827936	200.5256980776671	198.36189175777946	216.8483422001227
18	i	你	ni	0.05000000000000071	0.11000000000000032	244.00109972577934	237.607670069504	245.9766575734197	0	0.8380429457176733	74.45912466917814	71.78530737649326	75.61726368590034	237.607670069504	239.87735833533984	242.14704660117567	244.4167348670115	245.03574794850616	245.36346540923452	245.6911828699629	245.90512651133525	245.77774869463985	245.65037087794448
19	o	哦	o	0.09999999999999964	0.09999999999999964	225.77304896017236	201.40644713837497	245.65037087794448	1	0	78.66452798517771	75.30376661053567	81.9714688758384	245.65037087794448	244.16578741768578	240.12694616316315	235.39126310886707	230.02510414048993	222.9300863524975	215.17929452947874	211.6779091075028	208.0813163665791	201.40644713837497
20	@y	该	g@y	0.08999999999999986	0.15000000000000036	234.1850425082974	210.09179763128603	246.94438856232844	0	0.1820289615081038	79.77367318881218	76.12492622711093	81.70563117954767	210.09179763128603	238.34663314458464	236.0724371241666	234.34598365559305	234.2627578425523	234.49592177240504	235.67825493093784	235.9959540391335	233.71975099631908	232.7531413656947
21	I	什	sI	0.1299999999999999	0.21999999999999975	301.2247671105057	197.632450404302	359.72267091536816	1	0.200861471126228	73.20475281449299	71.16919774916168	76.72656950795756	335.71646585221856	353.4866198479268	358.799893953491	349.7539398420262	328.3425892369398	301.9182400533602	275.49389086977936	249.06954168619944	222.64519250261802	201.34327202223253
22	&	么	m&	0.02999999999999936	0.09999999999999964	235.52274777343973	233.04286359810203	238.06642358906637	0	0.6957066885331672	74.17065801188102	73.54076692730357	74.70122078798026	233.04286359810203	233.8078528788078	234.57284215951356	235.07542939660402	235.49054928582305	235.90566917504205	236.32078906426094	236.7359089534798	237.15102884269896	235.7190921566259
23	y@	家	jy@	0.07000000000000028	0.10000000000000053	225.2667648011781	217.36932443652032	233.01579052498673	1	0.11194294848792405	79.10087409391069	72.93806448492818	82.32370116993764	229.9968994343974	232.90912862213062	229.9841045868876	227.0590805516442	224.62925979178016	222.77082742658473	220.91239506138902	221.4356418048759	222.24469004140425	217.36932443652032
24	ow	都	dow	0.05999999999999961	0.10999999999999943	199.1036371236839	196.89002054315176	201.3999127834782	1	0.21036649410497568	73.53313120957812	70.11287721274903	75.82007884746037	198.02821574930863	200.71457926183928	200.2921348351449	199.42557498856175	198.5590151419786	198.71578764233416	199.01875047796673	199.32171331359928	198.20712087643275	196.89002054315176
25	wo	冇	mwo	0.0600000000000005	0.09000000000000075	179.5224433420695	176.87650140561098	182.57524162450008	0.9605201192534194	0	74.97982255553568	73.2507275008422	76.10943119374764	182.57524162450008	182.17666460065848	181.77808757681697	181.0817580157046	179.889174225808	178.69659043591142	177.81689075368982	177.45866458425985	177.1004384148299	177.00740238805193
26	y@	喫	qy@	0.08999999999999986	0.15999999999999925	200.3177483141302	182.05349537414722	221.1007438244885	0	1	70.85919569515929	61.52944506149404	78.21235797794577	182.05349537414722	186.6740638768061	190.988782589979	194.30340908912098	194.61775894617014	197.06648823551382	205.91835582174093	213.59729154308462	217.75743166977804	221.1007438244885
27	o	咯	lo	0.16999999999999993	0.2400000000000002	220.1657201261467	212.82832107217317	228.07025961404327	0.8401017715188012	0	77.23296315683261	68.16487968050752	80.16358117061667	228.07025961404327	224.53563346209978	223.44491402429483	222.6553799844039	221.13927756796363	219.45966566319203	217.52997794387832	215.03012913432835	214.35631921379405	219.6925511376486
