interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	%	是	s%	0.05000000000000002	0.16	217.6401005033787	211.4930654816435	222.69714249653975	1	0.4114512471655317	78.27327134977976	72.75225325951959	80.87451866156613	--undefined--	--undefined--	222.69714249653975	222.69714249653975	221.87547342140667	219.1083404536046	216.34120748580253	213.5740745180005	212.22520641020193	211.4930654816435
2	yaw	小	xyaw	0.14	0.22	206.68453164759774	138.5641717877692	303.5118323679152	0.35071158111844575	1	83.05335400640453	76.04102267175483	84.917393861339	--undefined--	252.50536631308321	140.15160183957323	138.89100783594543	139.84469967804037	142.53111021617622	166.11867578132745	281.2535499887253	298.0159093010346	303.5118323679152
3	iN	影	yiN	0.13	0.16999999999999998	327.2827989581479	306.3511737275291	339.0132805765916	0	0.808300030800026	83.0511018679222	80.70355757928253	85.87185014682397	306.3511737275291	309.8793364435349	316.63019719910665	323.2870871185657	328.44607024177554	332.21338794028446	336.76294118723536	338.45361091668656	338.11848219158964	335.9487593199009
4	@y	买	m@y	0.08000000000000007	0.12	318.2051549975524	288.61065581182015	333.6657304401393	1	0	83.49972807071562	82.10807540061147	84.59413618853755	333.4611759887214	331.57588910393054	329.5041535040539	326.82288387175055	323.86207909713437	319.7789912737524	314.24170067122304	307.9385567398117	298.2746062758159	288.61065581182015
5	&	了	l&	0.030000000000000027	0.05999999999999994	252.6122877849481	234.25026436003537	267.2671357961879	1	0	80.74171901151408	80.08122241134694	82.39906408684577	267.2671357961879	264.7673983556596	262.2676609151312	259.7679234746029	255.7733312959449	251.4687179087629	247.16410452158107	242.85949113439924	238.5548777472172	234.25026436003537
6	a	把	ba	0.10999999999999999	0.17000000000000004	220.40422086974493	212.86375650323174	237.7968435980269	0.9957515116445453	0	83.32393037904195	82.12619795835938	84.88311323051676	237.7968435980269	230.7564521320601	224.66349077544925	220.72132846466022	218.8879189136055	218.0291277758369	216.82775442502077	215.3834099437868	213.58608010015965	213.2511313395973
7	i	椅	i	0.19000000000000006	0.19000000000000006	216.2105705000114	202.11203540709747	227.21471574283103	1	0.7049995264518302	79.48450294923073	74.88271256560958	83.9473478765733	213.2511313395973	215.67670272529293	216.62102953984726	214.1329980420262	213.27183737681077	218.42202899098984	225.7131186450061	224.11462048575407	209.7696478431941	202.11203540709747
8	I	子	zI	0.14000000000000012	0.19999999999999996	218.85011564235796	198.0268651841215	228.63549773205915	1	0.1469468739876902	79.33294709899711	68.68827754031237	84.89439833735086	--undefined--	228.63549773205915	224.26048204055485	221.42742523639146	223.9923091593555	224.62111132632654	219.6854601734596	213.4105243970926	206.50768420278126	198.0268651841215
9	u	不	bu	0.030000000000000027	0.1299999999999999	216.51405082755105	209.22502514290133	227.2493081195955	0.9231265041729434	0.08031291250965755	77.60509906766177	73.60081515709125	79.34837877021893	226.38756632711576	224.7831211877158	222.01283392620502	219.24254666469398	216.47225940318296	213.70197214167217	210.93168488016113	210.84162354686572	211.30742015761513	211.77321676836456
10	%	是	s%	0.030000000000000027	0.13000000000000012	230.54176470043464	208.4685259765442	241.41811108530482	1	0.3524187452758876	70.39961729859155	68.46283848656711	71.23596791708773	--undefined--	241.41811108530482	241.41811108530482	241.41811108530482	236.73575101878424	231.08230601033614	225.42886100188804	219.77541599343994	214.12197098499232	208.4685259765442
11	yaw	小	xyaw	0.1200000000000001	0.19999999999999996	219.4842069652236	212.3156212245215	263.32158188996027	0.4136404498584449	0.004771352985640423	79.46457889731208	72.28362554402128	81.73323282172609	263.32158188996027	236.34502282140937	218.64101521423956	213.38979042963516	213.41096271075196	213.5716102460022	213.61692193154948	213.3613298949398	214.90219686716028	218.59312823852073
12	U	雨	U	0.3500000000000003	0.3500000000000003	183.71722858314482	110.24102281188884	249.6479692477992	0.42756110719555757	0.8264940744832	78.43212696792757	72.2259710333872	82.84642326969742	218.59312823852073	211.04296807672154	213.92813697464177	229.24060642430172	125.94252631171409	133.0347290089304	133.6863287809244	194.09086093801707	221.5324208282645	200.97628548958437
