interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	yaw	小	xyaw	0.13	0.23	164.32399591543611	152.64757297507614	178.27082528592805	1	0.14499389499389748	78.58644548178943	70.09427797595312	80.73866971200633	--undefined--	178.27082528592805	169.88207809279348	160.95895819258712	159.02400211520717	161.69564116154942	164.28507681656097	165.49400198438724	161.3279753889947	152.64757297507614
2	iN	映	yiN	0.10999999999999999	0.14999999999999997	102.81962148739838	97.14220169607326	119.78337415882207	0.4799177500234499	0	69.20820981103881	67.20119130260274	72.80088266204133	119.78337415882207	108.66996007880984	104.67705336127723	100.91993374388375	97.3125491603317	98.88743919740777	100.39462624213738	101.78498068945497	102.39161100139485	102.67923752418102
3	wey	嘴	zwey	0.12	0.17999999999999994	150.6241263800334	148.1520928433421	153.77882260784105	0.5809753442187242	0.8766318002045664	75.636076935139	66.74144609288095	78.5359550267167	--undefined--	151.3775945679978	150.72040550550332	149.6500933349159	149.1152190095026	148.80872197984309	148.95249194409178	152.15702738757682	153.06279912749756	152.38747600980855
4	a	巴	ba	0.08999999999999997	0.14	160.5540895308364	158.74288412986505	161.73161604668385	0.10263168252342295	0.5434808328906097	76.45843635612987	69.07962239035629	79.8219701111546	159.671109636232	158.85525256776424	159.8251080801483	160.74366933027494	161.26779539131846	161.672057217214	161.15460440731587	160.6937872429782	160.6684786634675	160.66038489177757
5	&n	笨	b&n	0.12	0.15000000000000002	111.61535396970382	91.2741719871908	143.66321403157346	0.24041005291005613	0	62.026644050047295	57.13755169731194	68.14724084993867	143.66321403157346	121.30846074953396	95.49894406373608	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
6	ey	得	dey	0.06000000000000005	0.10000000000000009	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	57.71619510672676	56.277368870466596	58.633611059121364	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
7	&n	很	h&n	0.22999999999999998	0.31999999999999984	130.71756098198193	81.57094939851883	169.1662261575385	0.8091680721199828	0.23076510175427742	68.4423958880861	55.37397661876457	75.67555170897812	156.0696282315126	164.22535668284462	168.15793493823645	163.086444899583	140.29790127169517	116.03953689427621	97.49377093314617	82.53253990416923	84.52059806196309	--undefined--
8	yEn	连	lyEn	0.13000000000000012	0.18000000000000016	138.38628527130638	137.0478911270521	140.96057384315534	0.7186189125203406	0.3829192239746252	76.98531488566508	70.5060181761303	81.4745251724267	137.10890130294626	137.92869543621595	138.27388894452045	140.21428153136839	139.9600055578564	138.45269354934368	137.28274647375403	137.47598951957053	137.86070855851386	138.1604459238424
9	yaw	小	xyaw	0.14000000000000012	0.21999999999999997	191.40229016460435	183.69421272906828	201.58358866183335	1	0.13463718820861936	80.98234578804225	67.37358537489166	84.47069160127327	--undefined--	201.58358866183335	192.75647391234833	187.0805082170468	187.86979538620562	192.2677025724224	192.6643536571426	191.83797253959506	189.3522222453468	183.69421272906828
10	iN	映	yiN	0.2200000000000002	0.26000000000000023	108.74632878252515	88.3812717756382	148.3192847645383	0.5277466531618581	0	68.8191741493013	63.844646914225684	74.72938953050944	148.3192847645383	138.46446251798886	119.42222187661763	102.59912915837475	92.74669505503944	89.64419287607973	96.92047121442943	101.5791017917576	107.11769322184105	112.7759699446558
