interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	%	是	s%	0.06	0.19999999999999998	105.45238395681538	102.10030424487152	106.79189470962345	1	0.43641345427059647	69.54323337600002	64.62628998021427	71.07840854296856	--undefined--	--undefined--	--undefined--	106.79189470962345	106.75444154573013	106.23626600762974	105.71809046952933	105.12795060361591	103.6141274242437	102.10030424487152
2	yaw	小	xyaw	0.17999999999999994	0.29999999999999993	155.57476298464007	148.31705957215925	166.1468919759834	0.2387872208013281	0.7348492187617723	81.14466562105459	72.51698350081149	85.19533221442734	--undefined--	149.2641298195447	148.63372191090846	149.57608060993869	151.65922335279134	154.90454034901404	162.64462087810654	163.99341708221536	159.85563916784173	160.46805554609767
3	iN	影	yiN	0.20999999999999996	0.25	201.83010914269485	166.93375118402963	216.68733046518727	0	0.43958899964840725	79.19183671394224	75.60674821832977	80.03214515924239	166.93375118402963	176.31707705960198	196.40853033989734	207.7440189283102	215.20262810760516	213.1938586547585	211.10724013183835	207.83522786282307	204.04390141361998	201.84646592413932
4	@y	买	m@y	0.10999999999999988	0.15999999999999992	182.6934382188299	163.13260452956283	198.22081007035112	1	0	82.8255424783065	80.41377981754576	85.00121725646312	198.22081007035112	193.59921426127	188.5830097882355	186.6051768939974	185.0329895951834	183.1129200390517	180.15092606304918	176.44942189213444	169.84025288243157	163.13260452956283
5	&	了	l&	0.050000000000000044	0.09000000000000008	126.02188715626558	110.62282297973655	139.65205674768904	1	0	80.80735009145442	77.41733941379083	83.68359653048746	139.65205674768904	136.67942601474752	133.706795281806	130.7385136786751	127.81602585413836	124.89353802960139	121.97105020506457	118.54342314804146	114.583123063889	110.62282297973655
6	a	把	ba	0.08999999999999986	0.1499999999999999	117.83916842978589	116.19104336117957	122.67218127265681	0.860729661266815	0	81.50466460433111	78.28913765284169	83.12795057557851	122.67218127265681	120.43095092016614	118.31215504247267	117.13410122780411	117.48108395215513	117.50838059469066	117.0174342725	116.67364594313247	116.56841537033269	117.09006706427175
7	i	椅	i	0.17000000000000015	0.17000000000000015	124.53925390980041	117.09006706427175	128.10421817151942	0	0.7241538355344846	73.18664228549129	72.14961934387061	76.58472491889627	117.09006706427175	120.05281101229733	123.11500121790661	123.53366293855419	125.31034909834459	126.90629954604567	127.89471979623096	127.89146169949613	126.43724799446557	120.64706859941883
8	I	子	zI	0.20000000000000018	0.29000000000000004	98.35367994230391	77.30840361355465	122.87797117984896	0.6809240362811791	0.1809240362811802	68.88090989333806	56.823438791522676	74.17809053766359	--undefined--	--undefined--	118.22221133024985	106.43724501547058	94.03837439605348	87.64311776585902	78.68642385255617	--undefined--	--undefined--	--undefined--
9	u	不	bu	0.04000000000000026	0.16000000000000014	109.04612218491994	106.32807464448277	110.76103240376028	1	0	70.45078786852888	68.4818149511028	71.5575026438732	110.76103240376028	110.64822213685493	110.53541186994956	110.42260160304419	110.03038974738145	109.13803910472592	108.2456884620704	107.35333781941493	106.46098717675935	106.32807464448277
10	%	是	s%	0.06000000000000005	0.18000000000000016	83.89647516507041	79.71731471263791	92.23343495892695	0.2697467876039266	1	65.29847515515466	62.923319110577694	66.64111774528571	--undefined--	79.71731471263791	79.71731471263791	80.25872811254648	81.20479372665115	82.15085934075574	84.32518564728463	87.41751363032068	90.50984161335647	92.23343495892695
11	yaw	小	xyaw	0.20000000000000018	0.2799999999999998	112.84964133212186	107.62787742164056	117.63960740695143	0.3383614907643559	0.7675527804726017	72.44168151225198	54.49239387489486	77.42059604665855	--undefined--	--undefined--	--undefined--	108.10369721544329	110.19080996445638	114.85102781496536	114.94810912321205	117.48326685633897	112.86806769937208	115.18577275666568
12	U	雨	U	0.20999999999999996	0.20999999999999996	113.27638181545905	83.57893440319158	123.93562298351526	0.9342133678868372	0.37811366289956233	70.4944593442806	65.34831356785102	75.7831202262027	115.18577275666568	119.14022122233467	121.42713495707005	123.32384416833052	123.08088954421005	122.2309502172409	115.78273113389353	102.37169190085353	88.36600927490478	--undefined--
