interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	yaw	小	xyaw	0.16000000000000003	0.26999999999999996	170.8834720593742	162.07039648277717	183.0901154348259	0.3181510887785843	1	80.93098480240769	65.47544553301753	83.44109369969593	--undefined--	170.00729858311269	164.89290576077246	162.97260558089368	165.0829549005326	169.09885285755792	173.49647053712027	177.24861860852343	178.64236730415922	183.0901154348259
2	iN	影	yiN	0.10000000000000009	0.14	183.8567116584739	164.94101876932382	192.7809463735806	1	0	77.42982789364515	74.66324804285753	79.08468508909947	192.7277742142249	192.18930345068426	191.549905851448	190.8968913871894	189.21814738566835	185.15183938484859	180.57556638426553	175.49036806791483	170.2490635378628	164.94101876932382
3	iN	平	piN	0.10999999999999999	0.16999999999999993	155.68956111604123	129.5716805038562	180.29279750021752	1	0	72.07340136824797	61.74729190803558	76.2954906745505	180.29279750021752	178.71526541297885	176.57150166961748	172.7551665415115	161.65074367669723	146.39466830345137	141.1112419584642	136.16074589799803	131.79171151916006	129.5716805038562
4	%	时	s%	0.06000000000000005	0.1200000000000001	121.84091478820251	102.13438672634149	138.84242336528305	0.8517573696145134	0	69.73819203837566	65.39423625885891	73.061777471009	138.84242336528305	137.8811125001571	135.73959425346064	131.24667046027673	126.75374666709283	121.35305452569017	114.14375521722644	106.9344559087627	102.13438672634149	102.13438672634149
5	ow	抠	kow	0.09000000000000008	0.17999999999999994	129.09492196785473	118.02384041788332	141.45159195137515	0.16459754071110258	0.7064750541998109	75.6355139638537	72.06567479143648	77.42416418677792	120.5771865195616	119.6809287591038	118.6731357542814	122.49978708117027	126.9272775697442	133.5825953928158	140.51479424216345	137.56364000355705	133.38415316319714	138.04496945701052
6	ey	得	dey	0.07000000000000006	0.1100000000000001	120.47935003632742	110.25850569401041	136.01044885400722	1	0	76.8279939122171	72.33442697694085	79.49170414035792	136.01044885400722	131.80348344905767	128.4628070193453	125.76991610359967	123.07548470376886	118.26904962301452	113.46261454226017	110.6381028566674	110.44830427533891	110.25850569401041
7	&n	很	h&n	0.26	0.31999999999999984	131.90175782459357	84.37724822345476	178.665453534617	0.7057608944157907	0.14046019192056014	70.37339646784004	52.19574677153484	82.0953463447822	163.97306667415606	176.4137836739752	171.21369010658356	148.98259425726962	122.93086979019006	99.6841812027449	88.07362524345622	90.1547102079783	--undefined--	--undefined--
8	yEn	连	lyEn	0.10999999999999988	0.1499999999999999	128.76446142167285	126.32857637072246	132.8304133676631	0.7584970009310575	0.1918676561533653	75.96644446042623	69.4626085257626	79.75467788403091	--undefined--	132.8304133676631	132.21148539365655	129.94593579780252	128.7030158462955	128.04311044119908	127.0064499774831	126.58207159574125	127.22704192022417	127.40264376645396
9	yaw	小	xyaw	0.16999999999999993	0.25	194.1047770797439	186.40869625573833	213.1375923616333	0.31948982392523234	1	82.57124226512973	72.03929210555297	84.61917123907136	--undefined--	192.04851174659822	187.867137673422	186.7541818394984	188.41432016563553	192.57864106283918	198.1426507045698	197.96969016063892	199.67181029295665	213.1375923616333
10	iN	影	yiN	0.08000000000000007	0.10999999999999988	205.30005218768076	197.44573079448926	212.59007207034207	1	0	80.37121140219098	78.97049477913752	81.12775794921515	212.59007207034207	210.52707442646604	208.81741176947295	207.22512717524222	205.76383119755837	204.43319010746197	203.14898288680027	202.0036046650849	200.85678149918402	197.44573079448926
11	ow	都	dow	0.06000000000000005	0.10000000000000009	194.7858381654267	186.03669845411898	201.30854041486407	1	0	79.40659823080921	76.04926330684013	82.25349173302823	201.30854041486407	201.13381090141445	200.38532625743233	198.4937111625419	196.60209606765147	194.46820746355135	191.8516212571322	189.23503505071307	187.1281304732195	186.03669845411898
12	@y	买	m@y	0.10000000000000009	0.1499999999999999	183.3898434556231	179.26630893830955	189.15248697787248	1	0.005313850302934848	80.76221241548419	79.81721751790528	81.45106851392775	189.02860133158984	187.91223500860877	186.49540260852106	184.7054135960003	183.16626753311417	182.21100208813817	181.353427537196	180.59334471434676	179.9128200406259	179.26630893830955
13	&	了	l&	0.04999999999999982	0.08000000000000007	145.8777101673732	140.70803207542374	159.7305584078502	1	0	79.35055725422868	73.96407409067865	83.38262640256198	159.7305584078502	155.10126461434587	150.47393921811235	147.77367474931685	145.0734102805214	142.3731458117259	140.75011688045814	140.73608861211335	140.72206034376853	140.70803207542374
14	a	把	ba	0.08999999999999986	0.1299999999999999	133.82729541721292	129.43041311366179	141.93202552572484	0.846866940339307	0	82.33392725792635	79.53517335783674	84.30098099307905	141.93202552572484	139.07612621676896	136.18591893176992	134.82766657630745	133.65981014899	132.5130688887642	131.36895188448668	130.5208860929029	129.7096144290918	131.7211442709499
15	i	椅	i	0.15000000000000036	0.15000000000000036	141.37973863629642	131.7211442709499	145.42767017803584	0	0.73835998832415	75.60162965918981	73.19786031880369	78.49250434116249	131.7211442709499	135.28377983161926	138.1980946448583	141.7590921096607	143.45611135067446	144.4673082163469	145.10414451555556	145.2537710773291	143.86489327384268	136.8488253253352
16	I	子	zI	0.18999999999999995	0.2799999999999998	105.26105832389787	76.81461635466009	133.76292661996845	0.6900286430361606	0.05844969566773882	70.92555786665146	57.55319311385754	76.80310542697327	--undefined--	128.7006735978046	117.04875927218951	105.47151444754668	99.42435543112344	91.30871038160367	79.42640291860891	--undefined--	107.6363899143046	--undefined--
17	ey	这	zey	0.0699999999999994	0.13999999999999968	100.00081975762217	98.85173482268739	101.15029395089377	0.8314360605873102	0.015792031098145018	74.64798101357145	72.00566919391781	76.59182684598416	101.15029395089377	100.73062080833124	100.24141813067986	99.93442893053344	100.08135065781042	100.22827238508738	99.88712715119227	99.35145166060154	99.03258974149311	100.00690521574423
18	y@	家	jy@	0.1299999999999999	0.16000000000000014	127.62589622140885	126.13389790062853	129.3693264491636	0	0.14470568894301525	77.11926468776528	63.5593787655223	84.664006525168	126.13389790062853	128.75373977369279	128.24774064602633	126.62251852309019	127.19351234400638	127.95604178399122	128.15936616310927	127.3779865924934	126.91253296379716	126.73369501148413
19	u	铺	pu	0.09999999999999964	0.20999999999999996	90.69484659908825	83.83064038910418	101.36020052726177	0.3673950348575441	1	66.58150619971158	61.27110429766684	69.68138143665091	--undefined--	87.44991740528425	87.26358112868748	85.40967705696275	85.53344791775348	90.26060134642002	92.90440469088055	93.46910535191866	96.81922625314145	101.36020052726177
20	I	子	zI	0.08999999999999986	0.15000000000000036	110.17728635041318	96.88240503903339	121.02101494971572	0.9011715797430038	0	75.25487212540054	71.80958519523998	77.69450271496109	121.02101494971572	119.42100863956118	117.75078635051042	114.93322843337191	111.97307622211174	109.98843882892227	108.1250413270801	103.0107481089605	97.49242387447777	96.88240503903339
21	&n	肯	k&n	0.0600000000000005	0.1299999999999999	139.9078806490118	133.29299448888557	152.09766222577534	1	0.01842403628118368	73.93832214700495	72.00214732183541	75.1354849110413	152.09766222577534	148.8482854070224	144.9530079973856	141.05773058774918	139.0855330041414	137.4955989945152	135.90566498488886	134.9506382761179	134.12181638250172	133.29299448888557
