interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	%	是	s%	0.03	0.13	100.68013127639473	92.3617487742372	115.44558736963171	0.6936885865457321	0.027021919879065735	69.78476110910532	67.99326950845558	70.89056829670137	115.44558736963171	112.533935392605	108.68662896003926	104.83932252747348	100.99201609490774	97.144709662342	93.29740322977626	92.3617487742372	92.3617487742372	92.3617487742372
2	yaw	小	xyaw	0.16999999999999998	0.29	138.52407363855298	135.41055067902886	143.42340923111917	1	0.18123916233159984	81.71028202603257	72.0435028028403	84.75680152995585	--undefined--	--undefined--	142.53250044029724	139.71234616848872	136.8657264026627	137.00222128226022	138.36767101690748	137.49569336093467	137.21476928670253	135.41055067902886
3	iN	银	yiN	0.07999999999999996	0.11999999999999994	122.59784988467102	120.27303847105962	125.63672610256226	1	0	78.63910845994869	78.29958497390135	78.89244668457943	125.63672610256226	124.5537893326659	123.56736259682432	122.95627136394194	122.53956976715169	122.20788074304625	121.99913501828374	121.70948383300093	120.99126115203028	120.27303847105962
4	a	拿	na	0.1200000000000001	0.22000000000000008	109.83738419015158	106.84395666236372	111.86588407694465	1	0	83.55361358033947	80.97463364998526	84.36548644305014	111.86588407694465	111.20650085998636	110.83127219219857	110.80729112649342	110.78650463007709	110.4395468973178	109.67584896005224	108.26569508695817	107.26603575445887	106.84395666236372
5	&	了	l&	0.030000000000000027	0.05999999999999994	104.15819391104039	100.13856670063905	106.06975038296669	1	0	76.18688940087243	74.76969617023214	79.5847736854761	106.06975038296669	106.06072766350103	106.05170494403536	106.0426822245697	105.26460758570207	104.23939940868944	103.21419123167685	102.18898305466426	101.16377487765163	100.13856670063905
6	&	个	g&	0.040000000000000036	0.10999999999999999	97.34333451993741	94.17157288547688	102.48553081222407	1	0	76.43285406123537	75.88080866169163	77.19176508129159	102.48553081222407	101.17282121763083	99.86011162303761	98.67286072252443	97.58118397323169	96.48950722393897	95.39783047464627	94.3731401232015	94.27235650433919	94.17157288547688
7	E	篮	lE	0.1499999999999999	0.21999999999999997	95.23085657828467	89.72165857336441	98.88060714405174	1	0.11193114613855606	80.56188759912128	75.09270832478212	82.22681293404106	98.33636804446225	98.74610072739638	98.12883651238187	96.93914986251079	95.40157450697949	93.72910196054337	92.93723168511016	92.8523457792439	93.29143590590172	89.72165857336441
8	I	子	zI	0.1499999999999999	0.24	94.84598939074237	84.97863383725854	105.05789436293925	1	0.13873771730914686	71.96177430876625	60.557731091534606	74.38353052907115	--undefined--	105.05789436293925	102.51842009713991	99.66875032896536	97.1071162737299	94.12298433406805	90.2538289178806	88.44098366965385	87.48080606168755	84.97863383725854
9	u	不	bu	0.040000000000000036	0.16000000000000014	103.96557191177605	103.18084316189294	105.37524999305668	0.4273162662645876	0	74.08521723185393	72.61766857785737	74.85130404963479	105.37524999305668	104.56402987234976	103.75280975164291	103.50718402043292	103.69242682414307	103.87766962785321	104.06291243156336	104.2063096564009	103.7725537084858	103.33879776057069
10	%	是	s%	0.030000000000000027	0.15999999999999992	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	64.51472195412204	62.247153530003466	65.82835377093795	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
11	yaw	小	xyaw	0.11999999999999988	0.18999999999999995	101.89233674339903	100.48524093315788	103.65078854667792	0.7033802020741596	0.3315948748153185	74.19208966727784	69.5331640224626	76.16623051646512	--undefined--	102.3976821582524	102.76353420635338	103.59652938266854	102.68723887759639	101.64821112900052	100.58754044660498	100.9923866013035	101.14020203522256	100.8386876586784
12	iN	明	miN	0.20999999999999996	0.3200000000000003	85.13464873328881	76.96642475124241	95.19514781735786	0.6229078933160568	0	63.38476901711177	55.64889616942197	71.93196492322885	95.19514781735786	92.87220487356713	90.16836016705705	84.86784270272729	80.04073041844464	77.51290914362978	76.96642475124241	--undefined--	--undefined--	--undefined--
