interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	yaw	小	xyaw	0.08999999999999997	0.18	150.30614614457883	148.49468062129466	151.81587146174704	0.37660204878446113	0.8108397418024386	79.37362212927192	70.93146676868051	84.06766292340892	--undefined--	150.96553262844466	149.85176211775914	148.63824069660456	149.12874989650638	149.77187456277832	150.72983538707408	151.71599339661597	151.212720025811	150.57605100945304
2	iN	英	yiN	0.05999999999999994	0.08999999999999997	145.62829528742776	143.22670564685978	148.44427622769444	0.7868697656693335	0	83.11953458804673	82.06411111735989	84.99487475117925	148.44427622769444	147.56517457658518	146.82754062421046	146.32398302211206	145.82042542001366	145.23417046370616	144.51108218768022	143.78799391165424	143.91742434075388	145.4574556972963
3	R	儿	R	0.050000000000000044	0.050000000000000044	149.38125940319784	145.4574556972963	151.72171512134074	0	0.6502731686701252	80.69358800607216	79.02883765808917	82.33666338607385	145.4574556972963	146.74081516108166	148.01147289408394	149.05075988399918	150.09004687391442	151.12933386382963	151.36497103835353	150.6264322515565	149.88789346475946	149.1493546779624
4	ow	手	sow	0.07999999999999996	0.20999999999999996	121.12561245321851	76.5600584339552	169.87058823815198	0.2615980507687272	0.720461654233125	77.53719125795202	70.87059909020465	80.63948227281654	87.32094562420723	86.73368151468739	86.46112115162559	86.27602124295842	104.71571683004504	139.50508319364417	162.60379195285063	156.01403614108034	149.63861549920804	149.63861549920804
5	oN	工	goN	0.21999999999999986	0.2599999999999999	154.2058443896319	135.99455682329398	160.89037088761413	1	0.0491908884766034	81.94123375972558	77.48536445479199	83.96816043289662	--undefined--	158.21736889019954	154.63652934168502	153.1013670009544	153.80471180189062	153.56746124339938	153.6048338293352	154.1456016118382	153.3741006277908	135.99455682329398
6	aw	好	haw	0.06000000000000005	0.15000000000000013	142.1114872219596	139.9680532902362	145.39571956967728	1	0	78.59744164098966	76.03909798555779	81.4042017272098	145.39571956967728	144.36964131390954	143.7076963540504	143.04575139419126	142.30619040717949	141.5557134900638	140.8052365729481	140.48576442679393	140.22690885851506	139.9680532902362
7	a	差	ca	0.15000000000000013	0.28	104.73032602628939	102.59372468111833	107.52490854240759	0.13166714646249436	0.47214663643235155	76.42550836106203	71.7932886980873	79.44760174130678	104.35781238021043	102.92622161238236	103.3018872360529	105.0690412342832	107.03276973415133	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
8	a	嘛	ma	0.16000000000000014	0.25	145.76928610842438	145.76928610842438	145.76928610842438	0	0	70.46534259748783	60.90604976619324	80.44618597379542	145.76928610842438	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
9	yEn	连	lyEn	0.0900000000000003	0.14000000000000012	122.31422731886451	114.59273670795707	128.64399856571754	0.7822458168249531	0.2664306908711744	75.1899582064044	72.33797415813343	76.7817279022091	125.24371957801105	126.77511078283334	128.443655616253	127.78428624679373	126.91642548794755	121.81224774439008	116.32865927644534	115.98583390266616	116.10342276523893	116.11308851641412
10	yaw	小	xyaw	0.10000000000000009	0.1599999999999997	130.53792404957534	117.74237016171855	151.7901493509802	0.642242095618521	0.10821995464852731	74.90254434861318	72.21301045765787	77.64034337329633	--undefined--	151.58191295175723	143.57910231495129	135.15287265822224	125.27669570301916	119.27343379408296	118.4881711989802	120.59273503035136	124.42365808796978	126.82407828782308
