interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	yaw	小	xyaw	0.13999999999999996	0.27999999999999997	278.5751072736087	268.19207116419	287.2541275901212	0.26692022617462696	0.8191917844079774	78.83463069197752	74.3690077091569	82.00168512708129	280.3967543195167	275.9269676781795	269.44117800449743	270.8693626578377	274.89340097110556	279.54907289963523	283.53284593327896	286.38748155087245	285.65688500417116	279.19700817277885
2	iN	英	yiN	0.20999999999999996	0.24	268.8652631536563	250.51334934590415	298.4450261137868	0.1699544565720238	0.9253656011489791	86.1391649286096	82.97419435391927	88.9331504753216	259.28819800487435	251.05966058533815	251.0619138215363	254.43853635174577	260.1410073851717	265.90488478972816	274.29314055114276	287.4004466435767	297.86646385498483	296.7068641125173
3	ow	手	sow	0.10999999999999999	0.22999999999999998	279.49484488729246	244.21172143267458	296.52790736568676	1	0	78.52223249035191	72.3249201039056	81.13904536938513	296.52790736568676	296.3851593163987	294.1618294032927	291.7874899934491	289.7423711407486	284.73926914784164	277.8882635956046	261.70239094087776	249.21777750165234	244.21172143267458
4	oN	工	goN	0.11999999999999988	0.15999999999999992	264.345583558376	256.9892688956656	271.423575389397	1	0.058991759630527885	80.81390688861732	76.91048170922038	82.46908617671284	268.88731146986777	268.18818537240907	265.1347263176686	265.3642329085608	265.69524528867476	265.7101657655298	264.5475034475359	261.75441103751285	258.7401542935776	256.9892688956656
5	aw	好	haw	0.10000000000000009	0.2200000000000002	283.89509656147123	274.79998371972295	293.65721345739166	0.011719692634073454	0.7719375151845702	77.00412746973308	73.78224470959731	78.69347743167819	275.50081592147563	277.04032422286343	280.24904444935277	281.9130548197761	283.4760327256339	286.4231045954137	289.16568020075647	291.3746071749624	287.73800890365186	277.69321450757764
6	a	差	ca	0.19999999999999996	0.43999999999999995	210.67509448976708	183.4476549414437	251.29974698247187	0.21794217687074796	1	70.8457914961229	68.45357287767969	74.29229990892938	208.5051790875655	196.50148252953343	183.4476549414437	--undefined--	--undefined--	--undefined--	--undefined--	217.14966276673124	229.25318161216234	251.29974698247187
7	a	嘛	ma	0.2000000000000004	0.3500000000000003	180.13518347549993	76.52022239709	248.59053662076042	0.4679421768707461	0	67.70836584144557	48.4556179658733	75.57554539114476	248.59053662076042	218.36301664029367	--undefined--	--undefined--	76.52022239709	--undefined--	177.5691633046844	184.40472551494645	195.01727328748478	--undefined--
8	yEn	连	lyEn	0.10999999999999988	0.1599999999999997	211.59878176973777	203.44258932200754	221.44323804283806	1	0	80.11352751089079	77.26336651403705	81.1604223942256	221.44323804283806	219.16735035831553	214.4331067473643	210.6164824462589	210.4447030714973	210.9191928763702	211.79741828781212	208.92682900294244	206.08271326009233	203.44258932200754
9	yaw	小	xyaw	0.14000000000000012	0.2400000000000002	272.0363657218914	263.28447841413765	282.71688315465167	0.2871035954158985	0.768151555274533	77.48086295723569	72.97992761246181	80.48728339229562	273.1306600087855	268.74263612265014	264.8915545992767	264.14079796006854	267.937733267994	273.528255167349	279.01587002751387	281.7391342222102	278.77584984069284	264.54514540146937
10	iN	英	yiN	0.20999999999999996	0.27	265.5534788058588	234.93259593360526	309.42820508828237	0.18806041817256322	0.8920490409522672	84.14659685873514	82.30376559092944	86.58328131622743	243.25010917774594	236.1633679030794	235.4028467246055	240.34046482581817	250.6450250842799	266.22230768309396	282.15734165881247	298.44788433695584	308.4218779574178	300.4315413978564
11	ow	都	dow	0.07000000000000028	0.1200000000000001	327.7637250349812	327.02997078161803	332.8002537396414	0.5477127660361388	0	79.03389794251397	78.77708456493745	79.28694927361819	332.8002537396414	328.5610953727037	327.95670856538175	327.3523217580599	327.2331127094728	327.13035656152095	327.1987818285189	327.52855036069803	327.85831889287715	327.2144152778663
12	yE	捏	nyE	0.08999999999999986	0.17999999999999972	246.84073615751396	217.80488851386818	291.08525609570137	1	0	82.66584289276751	80.98149240788089	85.90305622177915	291.08525609570137	278.7537032343497	264.9655280196809	255.02439776864725	247.236388173651	240.26260142487337	233.74452030090106	227.27924550667151	220.84352544871598	217.80488851386818
13	&	了	l&	0.08000000000000007	0.1200000000000001	202.19590274764076	189.8734436989327	214.6379527861492	1	0	79.50434959694059	75.64831746383513	82.63021813080017	214.6379527861492	212.1715160930429	209.5470742209149	206.745384319817	203.8105037592829	200.40696096482617	197.0034181703694	194.86735955387513	192.7687512249766	189.8734436989327
14	&	个	g&	0.050000000000000266	0.08000000000000007	175.78789997087011	172.4631410906535	180.52787495265	0.5320162919887899	0	76.73989570975424	75.53060830952042	77.2768497189401	180.52787495265	178.86951858508735	176.93328587064775	174.99705315620795	173.06082044176836	173.3687238706457	174.40847684017143	175.44822980969715	176.4222607952764	177.0354737365405
15	%	狮	s%	0.08000000000000007	0.27	178.34450302004709	174.7529670281491	184.6630579647351	0.45778780110945455	0.0448554421768665	72.77947973826483	70.70426674619408	73.59456195854114	184.6630579647351	182.32359908609345	178.40031403613642	175.7166124946537	175.37282457413892	175.24723510266085	177.16924299730806	179.09125089195513	179.52293807169104	179.68396414193674
16	I	子	zI	0.16000000000000014	0.26000000000000023	180.7079455494886	168.0245512807333	196.76579924587605	0.3974277210884333	0.14742772108843324	68.32999800488636	60.216975153105196	73.43820851299002	--undefined--	196.76579924587605	186.76176360303975	174.18891612136952	168.0245512807333	--undefined--	--undefined--	--undefined--	177.99483552728077	--undefined--
17	i	你	ni	0.04999999999999982	0.08000000000000007	346.53216267657865	336.4955679816623	349.6960690740397	0	0.8717687074829992	79.02487379948992	75.36899179078341	81.48835225459241	336.4955679816623	341.3793940699271	343.51812658290834	345.65685909588956	347.7955916088707	348.609462770682	348.99127495328884	349.37308713589573	349.6960690740397	349.6960690740397
18	a	咋	za	0.0600000000000005	0.14000000000000057	303.0811324195354	234.94401427518105	375.93914950280504	1	0	76.52411588841356	72.61786240660355	79.1524351389896	375.93914950280504	359.68150785947824	343.42386621615145	328.9796305777931	314.6075463719931	300.2354621661956	279.5148430447115	258.5416296958124	237.56841634691332	234.94401427518105
19	&	个	g&	0.03000000000000025	0.05999999999999961	237.776842306703	233.34814434323914	242.62435722998538	1	0.5754865751469762	78.70937571339941	78.32137618289559	79.20120013171555	234.84307053156616	235.60680645038283	236.5073302585151	237.41919007957398	238.331049900633	239.2429097216917	240.15476954275087	241.06662936380957	237.3972185112695	233.34814434323914
20	a	啥	sa	0.04999999999999982	0.16000000000000014	215.13542089584467	214.6217362264334	218.5121063767609	0.0717687074829956	0	70.04763111331076	65.52491562938575	76.19739028363246	218.5121063767609	214.6217362264334	214.6217362264334	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
21	I	子	zI	0.05999999999999961	0.14999999999999947	278.7859585318553	270.04168083880546	287.0737919440403	1	0.5093553945324621	78.71562052321048	73.094081810978	81.39531736952564	--undefined--	277.8860048787487	277.8860048787487	280.7377200314885	283.7028986518436	286.6680772721993	281.45381853188405	275.9141179867684	270.3744174416528	270.04168083880546
22	ow	都	dow	0.0600000000000005	0.10000000000000053	359.440081000275	343.7474537260388	370.3978704617912	1	0.19269825060635484	81.0996043081083	70.60458574929781	86.89458209364524	364.0602555258488	367.1117405221897	370.16322551853114	365.8534918892124	361.2508715771752	356.64825126513944	354.9044605360699	353.2744163421322	351.64437214819424	343.7474537260388
23	w>	做	zw>	0.10999999999999943	0.1999999999999993	185.56270017467097	158.7594569486207	252.30884573615393	0.9861815407663682	0	74.31185753884183	70.72663534440211	79.69167566540452	252.30884573615393	230.54372395113853	207.97597217531273	190.0657758411566	176.88362556104002	169.87574718678698	166.4335378836978	163.7814447772241	160.522843891798	159.56005105787023
24	u	不	bu	0.03000000000000025	0.10000000000000053	174.8616120352918	166.9339757612999	181.41920532325568	0	0.7862811791383049	60.59188258073605	58.82998219508864	62.77907090356992	166.9339757612999	166.94215158874783	169.1708669786463	171.58360498421786	173.9963429897894	176.40908099536014	178.82181900093167	181.2345570065024	181.41920532325568	181.41920532325568
25	u	出	cu	0.040000000000000036	0.2599999999999998	173.66029449849984	168.64673993837798	178.7550132056164	1	0	72.32648358344404	70.8050847007485	73.78398213424813	178.7550132056164	177.91300758256065	177.0710019595047	176.22899633644855	174.68722650456553	173.1028458615899	171.51846521861427	169.93408457563862	168.92693786466623	168.64673993837798
26	@y	来	l@y	0.05999999999999961	0.08999999999999986	163.30398938244215	160.15518551961654	166.35052538311066	1	0	69.66171260310502	69.14373234447916	70.28831274201873	166.35052538311066	165.7532237707026	165.14130845888286	164.52939314706322	163.81045623699708	162.96675934223455	162.1230624474722	161.38500460961563	160.77009506461616	160.15518551961654
27	o	哦	o	0.14000000000000057	0.14000000000000057	136.7990061002546	77.84367748933838	160.15518551961654	0.5970602526724964	0	66.24191756442212	62.923299596245826	68.87027860239924	160.15518551961654	158.08411319539536	154.54433635304076	149.92431259083364	146.45680868089454	97.68956807353538	77.84367748933838	--undefined--	--undefined--	--undefined--
