interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	%	是	s%	0.03999999999999998	0.18999999999999997	198.5363567012144	197.791499534681	199.2746689209897	0.7543934240362805	0.2543934240362798	70.43226929630846	68.90373439032233	71.66575674434527	--undefined--	199.2746689209897	199.2746689209897	199.04050640733496	198.71091321037747	198.38132001341998	198.0517268164625	197.791499534681	197.791499534681	197.791499534681
2	yaw	小	xyaw	0.12999999999999995	0.24999999999999994	238.37176626153044	229.24357394165492	244.99844494507178	0.343495902924438	0.7926206061158184	76.3456143146198	72.9538333285893	77.67739357874811	--undefined--	240.8804092582682	231.8821077730791	230.04773692403353	231.57848229731914	235.9173056397641	242.73913776227482	244.62432780772434	244.14261357108361	242.34197363316045
3	iN	英	yiN	0.24	0.27	221.77005083427676	216.6956515831434	231.23233261452177	0.3419233592744232	0	81.75175148413334	77.62515266141493	83.33581486924825	231.23233261452177	223.28296899858563	218.99126438455397	216.75860341024375	217.09629209456438	219.0843284027665	222.62464896548929	224.68325761188407	225.95942683261163	224.78403053549548
4	yE	捏	nyE	0.13	0.17000000000000004	205.95700203213684	198.9613437923551	219.81582804286904	0.6375983958410624	0	80.66644820809897	79.72643931178771	81.9624561360281	219.81582804286904	216.54936112790455	211.12873378073454	205.3865401024741	201.56346841992436	199.73211632157387	199.33085194395892	201.16982987087545	204.70706143011145	209.89447880668072
5	&	了	l&	0.040000000000000036	0.07000000000000006	243.78321515498098	232.47231684550997	249.90752890001656	0	0.7468762448887549	77.28007188923014	77.03584953608325	78.20565899033218	232.47231684550997	236.22149909901825	239.97068135252667	242.4533396860588	244.41983836100104	246.38633703594326	248.35283571088553	249.4659384537607	247.37751342724482	245.28908840072896
6	&	个	g&	0.030000000000000027	0.08999999999999986	213.70860580807832	207.59565546244178	224.09277569264566	1	0	78.13681059731869	77.21806823335716	78.68281041800878	224.09277569264566	220.860610752179	217.62844581171262	214.39628087124598	213.1698199280156	212.0549870349009	210.9401541417861	209.8253212486713	208.71048835555658	207.59565546244178
7	%	狮	s%	0.16999999999999993	0.33000000000000007	194.24642709876287	179.92098543665605	209.00042261397365	0.2895988282474342	0.9844948994624328	71.74880371105819	68.4253128852074	74.88911727811579	--undefined--	183.41963591451153	180.63958202742822	180.3898663996783	186.9516973996246	195.59278767958955	202.98553764205556	207.2378301717506	208.7191368525481	208.91763874089787
8	I	子	zI	0.15000000000000013	0.26	210.92138243870232	177.6211976738154	234.36987728932635	1	0.13450491307634305	71.8617915592692	68.58824191833976	76.37449604774012	--undefined--	234.36987728932635	230.95375302960494	228.74604889942538	224.18486263890608	213.40754196280938	201.7213870849865	191.40687433352966	181.79974230550982	177.6211976738154
9	u	不	bu	0.27	0.48	216.50525242573696	213.70556979749645	218.8331281508307	0.9636138405979675	0.6323223346546981	76.33135811959683	74.49453189395444	77.50866414190746	216.65275755062333	216.17360551314889	216.08128123883606	214.98741007952475	216.09729655965478	217.85397445283218	218.59822364607948	216.83833156301185	218.24397731123753	213.70556979749645
10	%	是	s%	0.050000000000000266	0.2100000000000004	179.2795743582088	179.0479807582119	179.84093568832628	0.41376085280831587	1	69.87955868242122	69.35939797075272	72.88099821593076	--undefined--	179.14955823109594	179.14867729182353	179.14344504644814	179.1382128010727	179.1329805556973	179.2438445218091	179.44287491064816	179.64190529948723	179.84093568832628
11	yaw	小	xyaw	0.14000000000000012	0.23999999999999977	199.93090585343018	193.94699118052657	223.4519254444956	0.44711714404015723	0.001255264010364369	72.37305833171865	69.40300269157783	74.12931037089312	223.4519254444956	211.1030670400741	202.9130424924082	197.51445078158324	194.33233727322428	196.79603707033436	196.98824414568423	196.3100968416019	195.35857316410863	194.6318360287721
12	aN	刚	gaN	0.22999999999999998	0.33000000000000007	185.1122402300361	176.60247848286468	206.9862637225891	0.08559982733806278	0.8703292911367424	66.57899813937468	54.83332284155313	71.1406756628174	179.05923461955942	177.3321784237327	178.12836873697734	177.35166532261704	179.39192477578536	184.80743328647534	186.56487671326116	200.11173197140428	206.9862637225891	--undefined--
