interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	%	是	s%	0.03999999999999998	0.18999999999999997	193.44438759089246	183.91411106548418	199.7303721358542	0.9202097505668962	0.4202097505668955	69.89964493004184	66.17775738509492	71.6385868184298	--undefined--	--undefined--	199.7303721358542	199.7303721358542	198.96376764519857	195.44904296289414	191.93431828058965	188.41959359828525	184.9048689159808	183.91411106548418
2	yaw	小	xyaw	0.14	0.26	261.86962669155724	245.59189482308045	279.3258175990464	0.25994735233749733	0.8089659630820041	78.78067484055953	73.95892781369527	80.21674655757656	258.30732253055703	250.71136378075585	246.87742753139327	248.00751432495602	254.21240323392826	264.7964304982554	273.72355384676473	277.79543503460366	276.39660522237125	269.95733665793097
3	iN	映	yiN	0.27	0.31999999999999995	176.74630926361056	158.59902929784784	237.03510182040125	0.5064190168129398	0	73.44716794269583	70.11794095415891	80.822967420594	237.03510182040125	212.21687302991253	184.08071201632515	168.70358853198022	160.41290846086034	159.5650431299928	161.84134022336255	168.049326513219	172.79341904591305	172.2862203931575
4	@y	卖	m@y	0.08999999999999986	0.1299999999999999	167.3650035571343	167.3650035571343	167.3650035571343	0	0	64.57533737031534	61.150642847177565	68.68962535481867	167.3650035571343	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
5	&	了	l&	0.030000000000000027	0.07000000000000006	173.63935343937547	172.58512951317906	175.1189782339326	0.2269463340891951	1	67.29008897107236	65.52090499770075	68.41915855190118	172.58512951317906	172.58512951317906	172.58512951317906	172.96977593954432	173.3715025802242	173.77322922090408	174.174955861584	174.5766825022639	174.97840914294378	174.88907962460726
6	waN	双	swaN	0.11999999999999988	0.25	188.10397365435682	183.0543010334074	202.25663432296412	0.3975935147973401	0	74.11652016090993	73.350345238283	75.07049993137757	202.25663432296412	194.10532151996912	185.59327055120613	183.8908285241462	183.72414430401088	185.08359523960527	186.82354523138318	188.13581147280664	188.99754972330916	191.34885272592138
7	a	袜	wa	0.24	0.28	172.61262136414757	163.5312378997958	191.28021331686887	0.8766970563479184	0	67.71515697275639	61.43644154751823	71.01054551223572	191.28021331686887	185.8527555901701	178.5591867206395	175.32764648258768	169.3009231649617	167.0962034600336	167.05578426547285	167.79194588829768	164.27078008550714	--undefined--
8	I	子	zI	0.13000000000000012	0.30000000000000004	85.19570530465397	82.74226439725092	87.583893267001	0.8130303871696025	0.43698761555904503	66.77056733590788	63.28817054134766	69.46616209140743	--undefined--	--undefined--	--undefined--	--undefined--	87.54716259646852	86.99985412561017	85.00358980763767	83.1756365773018	83.33321331490241	83.9299924479591
9	u	不	bu	0.1299999999999999	0.18000000000000016	209.93215035694817	201.72921015594918	222.7142665304589	0.6638626811439278	0.052372230943657075	77.62805931431107	71.53068187209533	79.23115569292479	222.7142665304589	220.46545656247847	216.28587404242708	212.54778727508582	208.28855312697044	204.49636452836268	201.75862997792188	204.73174838476814	205.85403502334188	205.96351721195742
10	%	是	s%	0.03000000000000025	0.18000000000000016	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	69.18273336796234	68.05823361332205	71.13737365833173	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
11	yaw	小	xyaw	0.16000000000000014	0.22999999999999998	202.78906051820363	194.60790260337404	226.38815068290526	0.40613670708226324	0.04255243764172408	75.80523718548302	71.17944846136511	77.14515248340305	226.38815068290526	213.69156815659414	200.44870627399516	196.1320563602984	195.32432790154812	198.46754458942252	203.70130822004054	206.30248654517777	200.15346856923938	195.87155851498625
12	i	丽	li	0.18000000000000016	0.23999999999999977	178.3703432845532	177.40334635606152	182.1779440129772	0.037824389014865845	0	61.80542469588444	51.57289463486714	71.12024879415097	182.1779440129772	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
