interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	yaw	小	xyaw	0.10999999999999999	0.25	297.35116139437747	287.46358747462455	302.82981467696544	1	0.18259121830550312	81.77270861760523	75.42306512028405	84.90449473081861	--undefined--	302.82981467696544	301.5904764628056	298.11581691829514	297.70923321689503	298.38248654217495	297.83977543166776	295.99380441104273	292.5393540609356	287.46358747462455
2	iN	银	yiN	0.08999999999999997	0.11999999999999994	249.9076242069771	220.3674838857462	273.60208207844465	1	0	84.64865561425671	81.10310296514476	86.6344806952236	273.60208207844465	268.3104289427696	263.0137099626426	257.5748034623011	252.13467751495935	247.96082808374433	243.79783865695575	237.72595928590314	231.63770864603177	220.3674838857462
3	wey	对	dwey	0.09999999999999998	0.13	184.42278514857009	170.04030438065638	210.90225948661904	0.7519630658144485	0	80.74083017241342	75.2505409355173	84.5375056555453	209.77228575225544	203.57527019374126	196.96211283822544	188.8170137448095	181.70436694076628	176.190745724035	172.7931840496059	170.85189418766547	174.92936015988957	180.58418197532353
4	i	集	ji	0.050000000000000044	0.18000000000000005	177.96863347965302	174.68544814407858	180.72065900911792	0.5860145877282535	1	72.30693639322358	69.4326596789679	74.65820026855069	--undefined--	179.86606467518953	179.60072185732196	178.16405908654727	176.72739631577258	175.29073354499792	175.67706489934602	177.3582629359367	179.0394609725273	180.72065900911792
5	i	体	ti	0.030000000000000027	0.05999999999999994	203.58535802005878	195.59426444454206	211.01842042835347	0	0.467324765882278	78.14735331244415	75.9080219588874	80.21233138407416	195.59426444454206	200.42614329696272	205.25802214938358	210.08990100180424	208.16366721714496	206.06051948910658	203.95737176106832	201.85422403303002	199.75107630499164	197.64792857695335
6	w>	活	hw>	0.10000000000000009	0.21000000000000008	165.57475443884644	150.16017354264736	177.20075129585604	0.9008503401360538	0.10085034013605379	74.34919337473937	68.00798243362107	76.54265087658727	--undefined--	176.92420295197462	173.92953580276108	170.89820015325031	167.77810497509705	165.1680735262646	163.08396271025515	157.71843256547328	150.89476251262255	150.16017354264736
7	oN	动	doN	0.1399999999999999	0.17999999999999994	230.70230581186416	145.84856229324774	287.5515628281197	0.21489310009718163	0.5006073858114662	71.7413890472795	58.86798955086237	76.17066529268179	--undefined--	150.77724341753495	145.84856229324774	--undefined--	287.5515628281197	287.3687029847249	285.9922202617543	280.8014441922144	--undefined--	--undefined--
8	oN	从	coN	0.17000000000000015	0.33000000000000007	167.72935306111728	165.21525418311813	180.33554577466882	0.5620840916104167	0	79.71772188091515	76.1969906002627	80.79528512705028	180.33554577466882	171.96311936434446	170.0449285832718	166.91105532932895	165.5502358942641	165.2637550342514	165.36669199307704	165.512348002807	166.63998272960433	168.0914526709114
9	@y	来	l@y	0.1100000000000001	0.17999999999999994	158.94041281554627	149.64846988054688	164.32487406741566	1	0	80.97914084066298	78.72361603326438	81.92454957066096	164.32487406741566	163.06119043036912	161.5159071696438	160.31211766827815	159.4009950838486	159.20361780485098	158.6895096933962	157.08647364093324	153.84872900422315	149.64846988054688
10	ow	都	dow	0.05999999999999983	0.10999999999999988	146.62505624920772	142.60256043747202	153.77338717705413	0.636424348768566	0	76.05043706454639	71.21386316964892	79.81039399310386	153.77338717705413	152.44675176817103	150.40182951936634	147.6010137898063	144.8001980602464	143.50728397405462	143.80121926125042	144.0951545484462	144.19400609924608	144.08756010546185
