interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	yaw	小	xyaw	0.11000000000000001	0.24000000000000002	313.39232323636344	293.1207131879109	331.6941195707724	1	0.010152545866829907	81.41637073663765	73.4967514556661	83.02725311341777	331.6941195707724	324.9876356435141	317.9812339898123	311.9758287579648	310.4223295069718	311.41787926762765	312.70943716430025	311.51622825971725	305.9657097616395	293.1207131879109
2	iN	映	yiN	0.13999999999999996	0.17999999999999994	176.0559522085678	148.41498616333934	243.28986104034746	0.7936912860382238	0	74.85159908643577	69.372255103369	80.92205971564735	243.28986104034746	217.69268393111986	195.3208901418515	174.7081941644627	163.92449354589812	157.23875192936444	151.32563448196615	148.77962906713924	--undefined--	--undefined--
3	wey	嘴	zwey	0.09000000000000008	0.17000000000000004	245.68820986472852	241.38885672663068	253.06443133451512	0.1235197782816813	1	74.64253644420002	67.41870279393558	77.47879893203262	--undefined--	241.38885672663068	243.2026167021889	245.2443988316622	247.27729880500965	249.30908213205407	246.54081949534495	243.16910500486478	247.62474853651827	253.06443133451512
4	a	巴	ba	0.07000000000000006	0.09999999999999998	255.30362735570384	251.76003616258288	265.84758288785116	1	0	77.70158224601275	75.2503870850112	79.20863894203413	265.84758288785116	261.46872588204906	258.1107379865025	255.52068355959028	252.930629132678	252.96566908378273	253.0026237645578	252.8010686539176	252.28055240825023	251.76003616258288
5	&n	笨	b&n	0.09999999999999998	0.19999999999999996	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	68.5700302032593	62.882243930488954	81.42963069161748	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
6	ey	得	dey	0.07000000000000006	0.1100000000000001	121.90306815582528	108.15662313215907	143.78184564265374	0.30166828636216164	1	68.89075391900451	66.29158368559479	71.27035739800279	110.29918748991113	109.58560667348291	108.7523872010238	108.15662313215907	108.15662313215907	--undefined--	--undefined--	143.14375348199644	143.22315869662833	143.78184564265374
7	&n	很	h&n	0.21999999999999997	0.30999999999999983	180.6455212898017	96.50103944859364	235.76531471954792	0.7323490002061431	0.27530315434012	69.6012062788661	51.452848428001694	76.63080777133939	219.63628676664442	223.62298723597058	231.62681700760658	231.14991575910165	214.71330484733812	100.39690797711935	98.29250670543209	96.50103944859364	--undefined--	--undefined--
8	yEn	连	lyEn	0.09000000000000008	0.14000000000000012	176.59899085759037	174.6678225699249	178.21403170095377	0.901297556059459	0.3613619429220791	74.84738223362311	73.15596456087283	75.76424996483017	176.44442558232535	177.0643589422923	177.76222904247203	177.9119430824882	177.99274407601285	177.05238182575664	175.98364104389555	175.33286372365697	174.73463190561344	174.6678225699249
9	yaw	小	xyaw	0.16000000000000014	0.26	277.2741245676823	260.7433775966154	292.93695222321827	0.19019812411877318	0.6431882841486138	78.86835015290707	72.8517424519229	84.14844245202735	--undefined--	263.80876156405316	261.91705144915517	267.5006353324271	279.4450107816794	290.43594122510086	292.2638719376215	288.4719588702864	281.6291536151175	269.77794735028965
10	iN	映	yiN	0.1399999999999999	0.16999999999999993	145.64009079845576	113.74140317140454	222.86795854694637	0.5836002687375564	0	74.52410057895655	71.2222028038822	78.41857555892616	222.86795854694637	192.9658280225256	166.91307865050234	144.83867292682868	126.69132508529472	116.0390654648539	121.19023837365134	128.5764277182396	134.27864463285857	141.46324674570408
11	ow	都	dow	0.08000000000000007	0.11000000000000032	183.86741826590827	175.46231458279442	201.1274602591049	0.18208227591802167	1	75.25863932442141	75.01038780879117	75.62029172655117	178.85874906463226	176.24693266713842	176.54548862278364	177.8174712463295	179.25713765072263	180.86491614702516	183.99057470484792	191.68540163200296	199.38022855915779	201.1274602591049
12	@y	卖	m@y	0.09999999999999964	0.1599999999999997	179.00826752487643	175.5261540404439	183.2079639139557	0.1634899270535112	0	70.17159751317172	68.08752011816871	74.62096434551205	183.2079639139557	176.1042954830698	178.32303380783924	180.10296591127346	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
13	&	了	l&	0.029999999999999805	0.06000000000000005	148.29504285404877	148.25114723392713	148.43776664761592	0.7038926681783603	1	67.64745552164479	66.6593033872426	69.7267904931841	--undefined--	--undefined--	--undefined--	--undefined--	148.25114723392713	148.25114723392713	148.25114723392713	148.29771276727257	148.36773970744426	148.43776664761592
14	waN	双	swaN	0.10999999999999988	0.18999999999999995	151.24534599918593	149.99701410642274	152.41723291023197	0.8820320072952808	0.2828798185940994	69.38294759791579	61.00710750715455	71.76302482125405	--undefined--	--undefined--	152.41723291023197	152.28194718147446	151.98401456533432	151.4682973160804	150.90031559280465	150.31555550456562	150.13149198700134	150.2819674786556
15	a	袜	wa	0.16000000000000014	0.20000000000000018	147.1235962917928	142.14430928178376	153.94372425572104	0.6521820775374382	0.3615617134593432	64.86285896195467	58.68355059829382	69.63822884067304	144.25437781849885	148.96166897828206	149.9880968087395	152.3088115534473	150.0384240308	144.703931314063	142.7999496167243	144.44027289096744	145.15015973141487	--undefined--
16	I	子	zI	0.04999999999999982	0.18999999999999995	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	63.22221916700627	58.25282149167962	66.90407026134989	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
17	i	你	ni	0.06999999999999984	0.09999999999999964	279.5202410782365	273.002264935434	284.9568412306713	1	0.5873825720764461	61.86595498568841	52.76937251717548	68.64662953027917	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	284.9568412306713	281.915216890198	277.6525931975228	273.87217067206916	273.002264935434
18	a	咋	za	0.040000000000000036	0.14000000000000012	261.69592952397835	248.37921798879745	272.5280459158428	1	0	76.49026339570742	74.67570328719499	79.36709327130487	272.5280459158428	268.0931064151739	263.658166914505	261.4869576808764	261.59105789723867	261.6951581136008	261.7992583299631	261.9033585463253	255.14566999729576	248.37921798879745
19	&	个	g&	0.029999999999999805	0.06000000000000005	213.2441017108986	209.60162778302006	217.41850611102169	1	0	74.50269535578741	71.35759138548008	76.07826522171662	217.41850611102169	216.05304908893058	215.2479684616858	214.44288783444128	213.6378072071965	212.83272657995184	212.02764595270705	211.219876411238	210.41075209712903	209.60162778302006
20	a	啥	sa	0.18999999999999995	0.31000000000000005	138.42885728825118	138.42885728825118	138.42885728825118	1	1	59.92526750224747	54.374632944356335	66.11526918280944	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	138.42885728825118
21	I	子	zI	0.03000000000000025	0.10000000000000009	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	58.055834606950356	55.990988346489644	61.76336966972157	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
22	ow	都	dow	0.0900000000000003	0.14000000000000012	239.57297038725656	225.6981297180622	248.27382807692496	0	0.8160680687180292	78.03838403725567	75.00207858318797	82.0630753486415	225.6981297180622	228.69296734932433	232.48999193110674	236.3878657976708	239.6859538198191	242.90863800575178	245.46750150885654	247.9429108482617	246.85128501948594	245.31121890472969
23	ey	没	mey	0.0699999999999994	0.10999999999999943	237.16102108147663	232.49515569913842	241.49763312426478	0.16868510828268762	1	75.97384320253249	74.28850548505926	78.3750423740547	233.81485590843175	233.33386654870768	233.24806168530466	233.86983581721782	236.26689126474446	238.66394671227144	239.85619544579288	240.56479858319182	241.2131257230947	241.49763312426478
24	@y	卖	m@y	0.1200000000000001	0.1800000000000006	154.09376849296348	105.92144405202454	208.80863245226251	0.5926398337112573	0	64.13384784810162	54.84166826243385	75.13341683830302	208.80863245226251	196.47089967005982	--undefined--	--undefined--	--undefined--	105.92144405202454	105.92144405202454	--undefined--	--undefined--	--undefined--
25	u	出	cu	0.040000000000000036	0.1299999999999999	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	60.580613052247855	59.75642907441883	61.30264624704728	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
26	U	去	qU	0.1299999999999999	0.25	76.35070578465124	76.35070578465124	76.35070578465124	0.16243676957962408	0.16243676957962408	63.15822628205876	55.699602987647594	67.67802266224093	--undefined--	76.35070578465124	76.35070578465124	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
