interval	rhyme_lab	character_lab	syllable_lab	rhyme_dur	character_dur	f0mean	f0min	f0max	f0min_point	f0max_point	intmean	intmin	intmax	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9	f0_10
1	%	是	s%	0.04999999999999993	0.17999999999999994	197.47702236585476	197.224929704344	197.73134976356997	0.40351473922903003	0.8035147392290287	78.788249862142	72.7290969644739	81.20405459788353	--undefined--	--undefined--	197.224929704344	197.224929704344	197.2767487636922	197.4174210023661	197.55809324103998	197.69876547971387	197.73134976356997	197.73134976356997
2	yaw	小	xyaw	0.25	0.41000000000000003	342.0612671815812	323.6631393209755	357.93634040821956	0.6007029478458059	0.4916253105369264	76.18978073376178	55.80496218252528	86.56972261938962	--undefined--	334.85692796711834	326.60555622627413	333.4555035850989	350.70212656633237	341.63046191956187	--undefined--	351.01908336173636	352.555717801268	--undefined--
3	iN	银	yiN	0.3799999999999999	0.4099999999999999	227.51975316250898	150.42939790105416	286.1622585051302	0.6894666705693125	0.7860793915284267	78.89084649920291	53.65647215160642	88.46617212317608	--undefined--	236.33840728642247	242.62013238639767	239.2388081065195	222.74699656859747	201.72949424242384	170.5427022870777	272.5329042968569	272.3517624052234	--undefined--
4	a	拿	na	0.1299999999999999	0.15999999999999992	176.1695234531359	169.7569468034896	188.9911561482721	0.6803019355820981	0.18015920148978168	80.25239995782293	78.14910978355927	81.30932875339005	172.0397045838404	183.897789927822	184.9677833373043	179.37690603132597	175.68527603837614	172.14446521456236	170.36132889362332	170.8215628101546	173.10775180500187	175.69918170634799
5	&	了	l&	0.040000000000000036	0.08000000000000007	165.06443115208899	162.01514608280925	169.5754953385038	1	0	77.8486016344745	77.16950071621672	78.9027647886763	169.5754953385038	168.24265843773807	166.90982153697226	165.9759354701677	165.2046379838107	164.43334049745366	163.66204301109659	162.9542505810461	162.4846983319277	162.01514608280925
6	&	个	g&	0.030000000000000027	0.10000000000000009	160.10199674429433	159.8125597296058	160.58286780239422	0.7754166616986979	0	80.90842498805591	80.86060178079771	80.9515953175167	160.58286780239422	160.43505566944643	160.3144620711623	160.19386847287817	160.073274874594	159.95268127630987	159.83208767802574	159.8860762487451	159.9497812417968	160.0134862348485
7	E	篮	lE	0.15000000000000036	0.2200000000000002	148.9815639076159	143.1386708512643	155.99273398224764	0.9199713251034392	0	77.98010979578974	76.02677114436376	80.17996963125631	155.99273398224764	153.50679968110308	151.09034355198594	149.1968378365471	148.80488245155908	149.78080540200176	148.91483259139312	146.07309472038992	143.9593432213322	144.9308189986239
8	I	子	zI	0.04999999999999982	0.16999999999999993	123.3146148835668	112.68563447456508	144.20544657323663	0.4035147392290309	0.0035147392290291305	77.47928027632602	75.74946452501243	79.55591543952501	144.20544657323663	135.72690301268142	126.9713996519395	118.21589629119717	112.68563447456508	112.68563447456508	--undefined--	--undefined--	--undefined--	--undefined--
9	u	不	bu	0.06000000000000005	0.2200000000000002	175.83519435644035	163.99047696063533	184.76409206354637	0	0.8362622826908539	77.34729591098356	73.31173019923008	79.52120223964454	163.99047696063533	166.6221419527906	169.2539501544972	171.88591750649542	174.51788485849352	177.30219698072483	180.2558114598222	183.20942593891945	184.76409206354637	184.76409206354637
10	%	是	s%	0.040000000000000036	0.1299999999999999	172.9760330012904	170.50326814774704	174.20695950560938	1	0.5043934240362864	72.89334971262166	70.49009591696041	73.79598541227816	--undefined--	--undefined--	--undefined--	174.20695950560938	174.20695950560938	173.8246224795333	172.99428389658664	172.16394531364017	171.33360673069362	170.50326814774704
11	yaw	小	xyaw	0.16999999999999993	0.27	184.78681452694929	178.13647377935538	192.97707766290532	0.3356034748526861	0.9335532699654941	79.95568580961684	77.14370131993144	82.8378001690547	--undefined--	187.2754353451252	180.4130094675217	178.40975591920545	180.08383409202347	182.92995397617142	184.43748851257544	188.79141943761454	192.2852487289545	191.9728686870849
12	iN	明	miN	0.21999999999999975	0.31000000000000005	222.2283704661943	135.56213007109943	281.71674890377056	0.23474582880268619	0.4073490811777501	70.96867434610223	55.371380659267786	82.71338314461877	170.65508076894545	162.50811820880844	152.78412164305203	226.67564203033504	264.85476170481166	265.474345795598	268.9861598956882	--undefined--	--undefined--	--undefined--
