啷  l a N
喃  l e y
噻  s e y
映  y i N
矬  c w >
巴  b a
把  b a
把  b a
笨  b & n
不  b u
差  c a
差  c a
常  c a N
出  c u
次  c I
从  c o N
得  d e y
的  l e y
的  d i
定  d i N
动  d o N
都  d o w
对  d w e y
儿   R
刚  g a N
个  g &
工  g o N
好  h a w
好  h a w
很  h & n
还  h @ y
活  h w >
集  j i
家  j y @
家  j y @
就  j y o w
肯  k & n
抠  k o w
来  l @ y
篮  l E
丽  l i
连  l y E n
了  l &
了  l y a w
隆  l o N
嘛  m a
买  m @ y
卖  m @ y
没  m e y
没  m w o
明  m i N
拿  n a
你  n i
捏  n y E
哦   &
哦   o
哦   o
哦  w >
撇  p y E
撇  p y E
平  p i N
铺  p u
铺  p u
去  q U
热  z E
啥  s a
上  s a N
生  s & N
狮  s %
时  s %
是  s %
手  s o w
双  s w a N
体  t i
袜  w a
相  x y a N
相  x y a N
小  x y a w
心  x i N
椅   i
艺   i
因  y i N
银  y i N
英  y i N
影  y i N
有  y o w
雨   U
咋  z a
这  z &
这  z e y
只  z %
只  z %
重  c o N
重  z o N
子  z I
嘴  z w e y
做  z w >
恁  n & n
